##;##
@Chart
PowerConsumption;Cooling Power Consumption;Nb of deployed VMs
471.993;147.775;1
1003.234;314.09998;2
1121.73;351.19897;3
1430.79;447.96167;4
1843.5339;577.1867;5
2315.527;724.9617;6
2787.52;872.7367;7
3259.513;1020.5116;8
3672.2568;1149.7366;9
4203.4976;1316.0616;10
4277.5586;1339.2487;11
4631.055;1449.9237;12
5103.0483;1597.6987;13
5634.2896;1764.0238;14
6165.531;1930.3488;15
6343.276;1985.998;16
6580.268;2060.197;17
6889.328;2156.9597;18
7067.072;2212.6096;19
7598.3125;2378.9348;20
8129.5537;2545.26;21
8366.546;2619.46;22
8838.539;2767.235;23
9310.531;2915.01;24
9619.591;3011.7727;25
9797.336;3067.422;26
10210.08;3196.6472;27
10519.141;3293.41;28
10637.636;3330.5088;29
11168.876;3496.8337;30
11640.869;3644.6086;31
12172.11;3810.9333;32
12703.352;3977.2583;33
12940.343;4051.4573;34
13058.839;4088.5564;35
13177.335;4125.6553;36
13295.832;4162.7554;37
13649.328;4273.4307;38
13827.073;4329.08;39
14299.066;4476.855;40
14476.811;4532.505;41
14773.051;4625.254;42
14891.547;4662.353;43
14965.607;4685.54;44
15437.601;4833.315;45
15615.345;4888.965;46
