##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.08163265;0.08163265;0.08979592;0.09795918;0.12244898
0.12244898;0.13061225;0.14693879;0.1714286;0.19591841;0.2367347
0.17959186;0.19591841;0.22040819;0.25306123;0.2938775;0.3510203
0.2367347;0.26122448;0.2938775;0.3346938;0.38367334;0.46530592
0.28571424;0.31836727;0.3510203;0.39999986;0.47346917;0.563265
0.3346938;0.36734682;0.41632637;0.47346917;0.55510175;0.66122407
0.3510203;0.39183658;0.44081613;0.5061222;0.5877548;0.7020404
0.4081631;0.45714265;0.51428545;0.5877548;0.6857139;0.81632596
0.4489794;0.49795893;0.563265;0.6367343;0.7428567;0.8979586
0.51428545;0.57142824;0.6448976;0.7346934;0.8571423;1.0285708
0.530612;0.5877548;0.66122407;0.7510199;0.8816321;1.0530605
0.6040813;0.66938734;0.75918317;0.86530554;1.0040809;1.2081624
0.65306085;0.72653013;0.81632596;0.9306116;1.0857135;1.3061215
0.6857139;0.75918317;0.8571423;0.9795912;1.134693;1.3632643
0.7346934;0.81632596;0.9142851;1.0448972;1.2244889;1.4612234
0.7510199;0.8408158;0.9387749;1.0775503;1.257142;1.5020397
0.7755097;0.8571423;0.96326464;1.10204;1.2816317;1.542856
0.7918362;0.8816321;0.9877544;1.1265298;1.3142847;1.5836722
0.80816275;0.8979586;1.0122442;1.1591828;1.3469378;1.6163253
0.8244893;0.9142851;1.0285708;1.1755093;1.3714275;1.6408151
0.8408158;0.9387749;1.0530605;1.1999991;1.4040805;1.6816314
0.90612185;1.0122442;1.134693;1.2979583;1.5102029;1.8122436
0.9959177;1.1102033;1.2408154;1.420407;1.6571417;1.9918352
1.0612237;1.1836727;1.3306112;1.5183662;1.7714273;2.1224473
1.0857135;1.1999991;1.355101;1.542856;1.8040802;2.1632636
1.0938767;1.2163256;1.3632643;1.5591824;1.8204068;2.1877534
1.1265298;1.2489786;1.4040805;1.5999987;1.8693863;2.2448962
1.1755093;1.3061215;1.4693866;1.6734681;1.9510189;2.3428552
1.1918359;1.322448;1.4938763;1.7061212;1.9836719;2.3836715
1.2734685;1.4122438;1.5836722;1.8122436;2.114284;2.5387735
1.2897949;1.4285704;1.608162;1.8367333;2.1469371;2.5714264
1.3632643;1.5183662;1.7061212;1.9510189;2.269386;2.7265284
1.3877541;1.5346926;1.730611;1.9755087;2.302039;2.7673447
1.4040805;1.5591824;1.7551007;1.9999985;2.334692;2.7999976
1.4122438;1.575509;1.7714273;2.0244882;2.359182;2.8244874
1.4285704;1.5836722;1.7877537;2.0408146;2.3755083;2.8489773
1.4367336;1.5999987;1.795917;2.0571413;2.399998;2.873467
1.4612234;1.6244885;1.8204068;2.081631;2.432651;2.9142833
1.5265294;1.6979579;1.9102026;2.17959;2.5387735;3.0448954
1.542856;1.7142844;1.9346924;2.2040799;2.5714264;3.0857117
1.5673457;1.7387742;1.9510189;2.236733;2.6040795;3.126528
1.6489784;1.8367333;2.0653045;2.359182;2.751018;3.2979572
1.6816314;1.8693863;2.0979576;2.399998;2.7999976;3.3551013
1.7061212;1.9020394;2.138774;2.4408143;2.8489773;3.4122455
1.730611;1.9183658;2.1551003;2.4653041;2.873467;3.4530628
1.7469375;1.9428556;2.17959;2.4979572;2.90612;3.49388
1.763264;1.9510189;2.1959167;2.5142837;2.9306097;3.5183704
1.7714273;1.9673454;2.212243;2.53061;2.9469364;3.5346973
1.8367333;2.0408146;2.2938757;2.6285694;3.0612218;3.673476
1.8938761;2.1061208;2.367345;2.7102017;3.1591809;3.7877643
1.9183658;2.1306105;2.3918347;2.7346916;3.191834;3.8285816
1.9999985;2.2204063;2.4979572;2.8571405;3.330611;4.000014
2.0326514;2.2530594;2.5387735;2.8979568;3.3795917;4.057158
2.081631;2.3102021;2.5959163;2.971426;3.4612262;4.1551194
2.0897942;2.3183656;2.6122427;2.9877527;3.4775531;4.17961
2.1061208;2.334692;2.6285694;3.004079;3.5020435;4.2041
2.114284;2.3510184;2.6448958;3.0204055;3.5183704;4.2285905
2.1551003;2.3918347;2.6938753;3.0775485;3.583678;4.3020616
2.1632636;2.4081614;2.7020385;3.093875;3.6081684;4.326552
2.1877534;2.4244878;2.7265284;3.1183648;3.6408222;4.367369
2.2040799;2.4489777;2.751018;3.1428545;3.673476;4.400023
2.212243;2.4653041;2.7673447;3.1673443;3.689803;4.4245133
2.2285697;2.4734674;2.7836711;3.1836708;3.7061298;4.4490037
2.236733;2.4897938;2.7999976;3.1999972;3.7306201;4.473494
2.2857125;2.5387735;2.8571405;3.2653034;3.8122547;4.5714555
2.3102021;2.5632632;2.8816302;3.2979572;3.8449085;4.6122727
2.359182;2.620406;2.9469364;3.3632648;3.926543;4.710234
2.3836715;2.653059;2.9795892;3.404082;3.9755237;4.7673783
2.4163246;2.685712;3.0204055;3.4448993;4.024504;4.8245225
2.4408143;2.7183652;3.0530586;3.4857166;4.073485;4.8816667
2.4816306;2.7591813;3.1020381;3.5428607;4.130629;4.963301
2.5142837;2.7918344;3.1346912;3.583678;4.17961;5.0204453
2.53061;2.808161;3.1591809;3.6163318;4.2122636;5.053099
2.5387735;2.8244874;3.1755075;3.6326587;4.236754;5.0775895
2.5632632;2.8489773;3.1999972;3.657149;4.2694077;5.118407
2.6122427;2.8979568;3.2653034;3.7306201;4.3510423;5.216368
2.6938753;2.995916;3.3714283;3.853072;4.489821;5.3878007
2.7102017;3.0122423;3.3877552;3.8693988;4.5143113;5.412291
2.7428548;3.0530586;3.4285724;3.9183795;4.5714555;5.485762
2.7591813;3.0612218;3.4448993;3.94287;4.595946;5.5102525
2.7836711;3.093875;3.4857166;3.9836872;4.6449265;5.5673966
2.8163242;3.126528;3.5183704;4.024504;4.6939073;5.6327043
2.8244874;3.1428545;3.5346973;4.040831;4.710234;5.649031
2.8408139;3.1591809;3.5510242;4.057158;4.7347245;5.6735215
2.873467;3.191834;3.583678;4.0979753;4.775542;5.7306657
2.8979568;3.2163239;3.6244953;4.1387925;4.8245225;5.7959733
2.9142833;3.2326503;3.6408222;4.1551194;4.849013;5.8204637
2.9224465;3.2489767;3.6489856;4.1714463;4.8653398;5.8367906
2.971426;3.2979572;3.7142932;4.2449174;4.9469743;5.934752
2.995916;3.330611;3.746947;4.2857347;4.995955;5.991896
3.028569;3.3632648;3.7877643;4.326552;5.0449357;6.0490403
3.0530586;3.3959186;3.8204181;4.367369;5.0939164;6.1061845
3.069385;3.4122455;3.836745;4.383696;5.1102433;6.130675
3.0857117;3.4285724;3.8612354;4.4081864;5.142897;6.171492
3.1020381;3.4448993;3.8775623;4.4245133;5.1673875;6.1959825
3.1428545;3.4857166;3.926543;4.4816575;5.232695;6.277617
3.1591809;3.510207;3.94287;4.506148;5.2571855;6.310271
3.1673443;3.5183704;3.9591968;4.530638;5.281676;6.334761
3.1836708;3.5346973;3.9755237;4.546965;5.2980027;6.3592515
3.1999972;3.5591877;4.000014;4.5714555;5.3306565;6.4000688
