##;##
@Chart
PowerConsumption;Cooling Power Consumption;Nb of deployed VMs
412.744;129.225;1
825.488;258.45;2
1134.548;355.2127;3
1606.54;502.9877;4
2137.781;669.3126;5
2669.022;835.6377;6
3141.014;983.4126;7
3318.7588;1039.0619;8
3790.7507;1186.8369;9
4203.4946;1316.0619;10
4381.239;1371.7119;11
4853.231;1519.4869;12
5149.471;1612.236;13
5680.7124;1778.561;14
6152.704;1926.336;15
6565.448;2055.561;16
6978.1924;2184.7861;17
7155.9375;2240.4353;18
7568.6816;2369.6604;19
7877.741;2466.423;20
8349.733;2614.198;21
8880.975;2780.5232;22
9117.968;2854.7222;23
9192.028;2877.9092;24
9369.773;2933.558;25
9782.518;3062.7832;26
10078.758;3155.5322;27
10491.502;3284.7573;28
10800.562;3381.52;29
11272.554;3529.2952;30
11391.051;3566.394;31
11628.044;3640.593;32
11865.037;3714.792;33
12337.028;3862.567;34
12646.088;3959.3296;35
12823.833;4014.979;36
13177.329;4125.654;37
13649.32;4273.4287;38
13723.38;4296.6167;39
13901.125;4352.266;40
14078.87;4407.915;41
14432.366;4518.59;42
14610.111;4574.239;43
14847.104;4648.439;44
15156.163;4745.2017;45
15274.66;4782.301;46
15511.653;4856.4995;47
15630.149;4893.5996;48
15807.895;4949.2485;49
16044.887;5023.448;50
16163.383;5060.5483;51
16281.88;5097.6475;52
16694.623;5226.8726;53
16872.37;5282.522;54
16990.865;5319.622;55
17064.924;5342.81;56
17138.984;5365.998;57
17551.729;5495.223;58
17729.473;5550.872;59
17847.969;5587.971;60
17966.465;5625.0713;61
18319.96;5735.746;62
18497.705;5791.396;63
18675.45;5847.046;64
18853.193;5902.695;65
19030.938;5958.3447;66
19149.434;5995.445;67
19327.178;6051.0938;68
19504.922;6106.7427;69
19976.914;6254.5176;70
20154.658;6310.1675;71
20391.65;6384.3667;72
20569.396;6440.0156;73
20747.14;6495.6646;74
20865.637;6532.7637;75
20939.697;6555.9517;76
21117.441;6611.601;77
21354.436;6685.8003;78
21532.18;6741.45;79
21650.676;6778.5503;80
21828.42;6834.199;81
21902.479;6857.386;82
22020.977;6894.4854;83
22317.217;6987.2344;84
22494.96;7042.8843;85
22613.457;7079.9844;86
22850.45;7154.184;87
23028.193;7209.833;88
23102.254;7233.02;89
23279.998;7288.669;90
23516.99;7362.869;91
23694.734;7418.518;92
23813.23;7455.618;93
23990.975;7511.268;94
24109.47;7548.3677;95
24287.215;7604.0176;96
24464.959;7659.6665;97
24642.703;7715.3164;98
24879.695;7789.5156;99
25116.688;7863.7153;100
25294.432;7919.365;101
25412.928;7956.4653;102
25486.986;7979.6523;103
25664.73;8035.3013;104
25842.475;8090.95;105
26138.717;8183.699;106
26212.777;8206.887;107
26390.521;8262.536;108
26464.582;8285.723;109
26538.643;8308.91;110
26716.387;8364.559;111
20046.127;6164.885;72
20399.623;6275.56;73
20753.12;6386.235;74
20871.615;6423.3345;75
20990.111;6460.4346;76
21343.607;6571.1094;77
21697.104;6681.7847;78
21815.6;6718.885;79
21934.096;6755.9844;80
22287.592;6866.659;81
22406.088;6903.7593;82
22524.584;6940.8594;83
22643.08;6977.9595;84
22894.885;7112.4453;85
23013.38;7149.5444;86
23131.877;7186.6445;87
23250.375;7223.7437;88
23368.871;7260.8433;89
23487.367;7297.9424;90
23605.863;7335.042;91
23724.36;7372.142;92
23842.855;7409.242;93
23961.354;7446.3413;94
24079.85;7483.4414;95
24198.346;7520.5415;96
24316.842;7557.6416;97
24435.338;7594.7407;98
24509.398;7617.9277;99
24627.895;7655.028;100
24746.39;7692.1265;101
24864.887;7729.2266;102
24983.383;7766.3267;103
25101.879;7803.427;104
25220.375;7840.527;105
25472.178;7975.0127;106
25590.676;8012.113;107
25709.172;8049.213;108
25827.668;8086.313;109
25946.162;8123.413;110
26064.658;8160.513;111
26183.154;8197.613;112
26538.643;8308.912;113
26612.703;8332.099;114
