##;##
@FFD demo file.
PowerConsumption;Nb of deployed VMs
7594.06;1
7668.12;2
7742.18;3
8038.421;4
8112.481;5
8408.721;6
8704.962;7
8779.021;8
8853.082;9
8927.143;10
9223.383;11
9297.443;12
9371.504;13
9445.564;14
9519.624;15
9815.864;16
9889.926;17
9963.986;18
10038.046;19
10112.107;20
10186.168;21
10260.229;22
10334.288;23
10408.348;24
10482.408;25
10556.467;26
10630.527;27
10704.588;28
10778.647;29
10852.707;30
10926.768;31
11223.008;32
11297.068;33
11371.128;34
11445.1875;35
11519.248;36
11593.309;37
11667.368;38
11741.428;39
11815.488;40
11889.548;41
11963.607;42
12259.849;43
12333.908;44
12630.148;45
12704.209;46
12778.269;47
13074.51;48
13148.57;49
13444.811;50
