##;##
@Chart
PowerConsumption;Cooling Power Consumption;Nb of deployed VMs
531.241;166.325;1
884.73706;277.0;2
1238.233;387.675;3
1591.729;498.34998;4
1900.7891;595.1127;5
2078.5342;650.7627;6
2609.7751;817.0877;7
3022.519;946.3127;8
3331.579;1043.0754;9
3509.324;1098.7247;10
3583.3838;1121.912;11
4055.377;1269.6869;12
4129.438;1292.8739;13
4482.934;1403.549;14
4660.678;1459.199;15
5132.6714;1606.974;16
5441.7314;1703.7367;17
5560.227;1740.8357;18
5678.724;1777.9357;19
5752.785;1801.1227;20
6284.0264;1967.4476;21
6521.0195;2041.6466;22
6595.0796;2064.8347;23
6713.5757;2101.9336;24
7126.319;2231.1587;25
7304.063;2286.8076;26
7541.056;2361.0066;27
8072.2974;2527.3318;28
8146.357;2550.5188;29
8264.853;2587.6187;30
8561.093;2680.3677;31
8679.589;2717.4668;32
8975.829;2810.2156;33
9212.82;2884.4155;34
9509.061;2977.1646;35
9583.122;3000.3518;36
9820.114;3074.5518;37
9894.175;3097.7388;38
10071.919;3153.3887;39
