##;##
@Chart
PowerConsumption;Cooling Power Consumption;Nb of deployed VMs
309.06;96.7627;1
618.12;193.5254;2
971.616;304.2004;3
1384.3601;433.4254;4
1797.104;562.6504;5
2106.164;659.4131;6
2459.6602;770.0881;7
2533.7202;793.2754;8
2887.2158;903.9504;9
3299.96;1033.1754;10
3609.0205;1129.9381;11
3918.0806;1226.7008;12
4330.824;1355.9258;13
4862.0654;1522.2509;14
4936.1255;1545.4379;15
5289.6216;1656.1129;16
5820.8623;1822.4379;17
6174.3584;1933.1129;18
6483.4185;2029.8756;19
6661.1636;2085.5247;20
6779.6597;2122.6248;21
7133.156;2233.2998;22
7207.217;2256.4878;23
7503.4565;2349.2366;24
7577.5166;2372.4246;25
7873.757;2465.1736;26
7992.2534;2502.2727;27
8066.3135;2525.4597;28
8538.306;2673.2346;29
8612.365;2696.4219;30
8686.427;2719.609;31
8864.171;2775.2588;32
9173.23;2872.0215;33
9350.975;2927.6704;34
9469.47;2964.7703;35
9822.966;3075.4453;36
10176.462;3186.1204;37
10250.522;3209.3074;38
10369.019;3246.4072;39
10443.078;3269.5942;40
10561.574;3306.6943;41
10680.071;3343.7935;42
11033.567;3454.4683;43
11211.3125;3510.1177;44
11329.81;3547.2168;45
11861.051;3713.5417;46
11979.547;3750.6418;47
12098.043;3787.7415;48
12570.035;3935.5168;49
12982.779;4064.742;50
13219.7705;4138.942;51
13338.268;4176.041;52
13575.261;4250.24;53
13693.757;4287.34;54
13871.502;4342.9893;55
13989.998;4380.089;56
14108.494;4417.1895;57
14286.238;4472.8394;58
14404.735;4509.9385;59
14700.976;4602.6875;60
14775.036;4625.875;61
15247.027;4773.65;62
15365.523;4810.75;63
15439.583;4833.937;64
15513.645;4857.125;65
15632.141;4894.2246;66
15809.886;4949.8735;67
15928.383;4986.973;68
16002.444;5010.161;69
16120.94;5047.261;70
16195.001;5070.4487;71
16269.062;5093.6357;72
16343.121;5116.8228;73
16417.182;5140.01;74
16535.678;5177.109;75
16713.424;5232.759;76
16831.92;5269.859;77
16905.979;5293.047;78
17024.477;5330.146;79
17098.535;5353.333;80
17335.527;5427.532;81
17513.271;5483.181;82
17587.332;5506.368;83
17765.076;5562.017;84
17942.822;5617.666;85
18016.88;5640.853;86
18135.377;5677.953;87
18372.371;5752.1523;88
18550.115;5807.8022;89
18668.611;5844.9023;90
18787.107;5882.0024;91
18861.168;5905.1904;92
18935.229;5928.3774;93
19466.467;6094.702;94
19879.21;6223.9272;95
20056.955;6279.576;96
20131.016;6302.763;97
20308.76;6358.413;98
20427.256;6395.513;99
20605.0;6451.162;100
20679.06;6474.349;101
20856.805;6529.999;102
21034.549;6585.648;103
21271.541;6659.848;104
21345.602;6683.035;105
21419.662;6706.222;106
21597.406;6761.871;107
21715.902;6798.971;108
22012.14;6891.72;109
22130.637;6928.8203;110
22204.697;6952.0083;111
22278.758;6975.1953;112
22397.254;7012.2954;113
22515.75;7049.3955;114
22589.809;7072.583;115
22663.87;7095.77;116
22782.365;7132.87;117
22856.424;7156.058;118
22930.482;7179.246;119
23108.227;7234.896;120
23226.723;7271.996;121
23300.781;7295.184;122
23374.842;7318.371;123
23552.584;7374.0205;124
23671.08;7411.1206;125
