##;##
@Chart
PowerConsumption;Cooling Power Consumption;Nb of deployed VMs
353.496;110.675;1
662.556;207.43771;2
1193.7971;373.7627;3
1606.541;502.98767;4
2078.534;650.7627;5
2609.7751;817.0877;6
2683.835;840.275;7
2757.896;863.46204;8
3289.137;1029.787;9
3585.377;1122.536;10
3703.8738;1159.636;11
3881.618;1215.2849;12
4235.1143;1325.9598;13
4309.1743;1349.1478;14
4781.167;1496.9229;15
5134.663;1607.5979;16
5547.407;1736.8229;17
5960.151;1866.0479;18
6078.6475;1903.1469;19
6152.7085;1926.3339;20
6330.4536;1981.9829;21
6567.446;2056.1821;22
7039.439;2203.957;23
7570.68;2370.282;24
7644.74;2393.469;25
7718.8;2416.656;26
7837.297;2453.7559;27
7911.3584;2476.9429;28
8089.1016;2532.593;29
8385.342;2625.342;30
8459.402;2648.529;31
8637.146;2704.179;32
8755.642;2741.278;33
8992.633;2815.478;34
9066.693;2838.666;35
9244.4375;2894.3152;36
