##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.08163265;0.08979592;0.09795918;0.114285715;0.13877553
0.13877553;0.15510206;0.1714286;0.19591841;0.22857144;0.26938772
0.18775514;0.21224493;0.2367347;0.26938772;0.31020403;0.3755101
0.26122448;0.2938775;0.32653055;0.3755101;0.44081613;0.5224487
0.3510203;0.39183658;0.44081613;0.49795893;0.5795915;0.7020404
0.44081613;0.48979568;0.5469385;0.6204078;0.72653013;0.8734688
0.51428545;0.57142824;0.6448976;0.7346934;0.8571423;1.0285708
0.5469385;0.6040813;0.6775506;0.7755097;0.90612185;1.0857135
0.6204078;0.6857139;0.7755097;0.8816321;1.0285708;1.2326522
0.6857139;0.75918317;0.8571423;0.9795912;1.1428564;1.3714275
0.7183669;0.7918362;0.88979536;1.0204074;1.1918359;1.4285704
0.7918362;0.8816321;0.9877544;1.1265298;1.3142847;1.5836722
0.8408158;0.9306116;1.0530605;1.1999991;1.3959173;1.6734681
0.9306116;1.0285708;1.1591828;1.322448;1.542856;1.8530598
1.0040809;1.1183666;1.257142;1.4285704;1.6734681;1.9999985
1.069387;1.1918359;1.3387744;1.5265294;1.7795905;2.138774
1.134693;1.2653052;1.420407;1.6244885;1.8938761;2.269386
1.1673461;1.2979583;1.4612234;1.6653049;1.9428556;2.3265288
1.2326522;1.3714275;1.542856;1.763264;2.0571413;2.4653041
1.2816317;1.4285704;1.5999987;1.82857;2.138774;2.5632632
1.3632643;1.5102029;1.6979579;1.9428556;2.2612226;2.7183652
1.4448968;1.608162;1.8040802;2.0653045;2.4081614;2.8897934
1.4857131;1.6489784;1.8530598;2.1224473;2.4734674;2.9632628
1.4938763;1.6653049;1.8693863;2.138774;2.4897938;2.9877527
1.5265294;1.6979579;1.9102026;2.17959;2.5387735;3.0448954
1.5918355;1.7714273;1.9918352;2.2775493;2.653059;3.1836708
1.6408151;1.8204068;2.048978;2.3428552;2.7346916;3.2816303
1.7061212;1.8938761;2.1306105;2.4408143;2.8408139;3.4122455
1.7551007;1.9510189;2.1959167;2.5142837;2.9306097;3.510207
1.8367333;2.0408146;2.2938757;2.620406;3.0530586;3.6653125
1.8530598;2.0571413;2.3183656;2.6448958;3.0857117;3.7061298
1.8938761;2.1061208;2.367345;2.7020385;3.1510177;3.7796009
1.9346924;2.1469371;2.4163246;2.7591813;3.2163239;3.8612354
2.0081618;2.2285697;2.5061204;2.8653038;3.346938;4.0163407
2.0571413;2.2857125;2.5714264;2.9387732;3.4285724;4.114302
2.0897942;2.3183656;2.6122427;2.9795892;3.4775531;4.1714463
2.1469371;2.3836715;2.677549;3.0612218;3.5755146;4.2857347
2.2204063;2.4653041;2.775508;3.1755075;3.6979663;4.4408402
2.236733;2.4816306;2.7918344;3.191834;3.7224567;4.4653306
2.2612226;2.5142837;2.8244874;3.2326503;3.7714374;4.522475
2.2938757;2.5469368;2.8653038;3.2734668;3.8122547;4.579619
2.3510184;2.6122427;2.9387732;3.3551013;3.910216;4.6939073
2.3755083;2.6448958;2.971426;3.3959186;3.9591968;4.7510514
2.4163246;2.685712;3.0204055;3.4530628;4.024504;4.8245225
2.4653041;2.7428548;3.0857117;3.5183704;4.1061387;4.9306474
2.4816306;2.7591813;3.1020381;3.5510242;4.1387925;4.963301
2.5224469;2.7999976;3.1510177;3.600005;4.2041;5.0449357
2.5469368;2.8244874;3.1755075;3.6326587;4.236754;5.085753
2.5714264;2.8571405;3.2163239;3.673476;4.2857347;5.142897
2.6122427;2.8979568;3.2653034;3.7306201;4.3510423;5.216368
2.6285694;2.9224465;3.2897937;3.7551105;4.383696;5.2571855
2.653059;2.9469364;3.314284;3.7796009;4.41635;5.2980027
2.7183652;3.0204055;3.3959186;3.8775623;4.522475;5.428618
2.7428548;3.0530586;3.4285724;3.9183795;4.5714555;5.485762
2.7673447;3.069385;3.4530628;3.9510334;4.6041093;5.5265794
2.775508;3.0857117;3.4693897;3.9673603;4.620436;5.5510697
2.7918344;3.093875;3.4857166;3.9836872;4.6449265;5.57556
2.8571405;3.1755075;3.567351;4.073485;4.759215;5.7061753
2.8816302;3.2081606;3.6081684;4.1224656;4.8081956;5.7633195
2.90612;3.224487;3.6244953;4.146956;4.832686;5.8041368
2.9224465;3.2489767;3.6489856;4.1714463;4.8653398;5.844954
2.9795892;3.314284;3.7224567;4.253081;4.963301;5.9592423
3.0122423;3.346938;3.763274;4.293898;5.012282;6.0163865
3.0367322;3.3714283;3.7959278;4.3347154;5.0612626;6.0735307
3.069385;3.404082;3.8285816;4.3755326;5.1102433;6.130675
3.093875;3.4367359;3.8693988;4.4245133;5.159224;6.187819
3.1183648;3.4612262;3.8938892;4.4490037;5.191878;6.2286363
3.1428545;3.49388;3.926543;4.489821;5.2408586;6.2857804
3.1755075;3.5265338;3.9673603;4.530638;5.281676;6.3429246
3.2489767;3.6081684;4.057158;4.636763;5.412291;6.49803
3.2816303;3.6408222;4.0979753;4.6775804;5.461272;6.555174
3.314284;3.6816394;4.146956;4.7347245;5.5265794;6.628645
3.346938;3.7142932;4.17961;4.775542;5.57556;6.685789
3.3714283;3.746947;4.220427;4.816359;5.624541;6.7429333
3.3959186;3.7714374;4.2449174;4.849013;5.6571946;6.7837505
3.404082;3.7877643;4.253081;4.8653398;5.6735215;6.808241
3.4367359;3.8122547;4.293898;4.906157;5.722502;6.865385
3.4693897;3.8612354;4.342879;4.963301;5.78781;6.938856
3.5020435;3.8938892;4.3755326;5.0041184;5.8367906;6.9960003
3.5183704;3.910216;4.400023;5.028609;5.8694444;7.0368176
3.5510242;3.94287;4.432677;5.069426;5.9102616;7.0939617
3.5591877;3.9591968;4.4490037;5.085753;5.934752;7.118452
3.583678;3.9755237;4.473494;5.118407;5.967406;7.1592693
3.6326587;4.0326676;4.5388017;5.1837144;6.0490403;7.2572308
3.657149;4.0653214;4.5714555;5.2245317;6.098021;7.314375
3.6816394;4.089812;4.595946;5.249022;6.130675;7.355192
3.7142932;4.130629;4.6449265;5.306166;6.187819;7.4286633
3.746947;4.163283;4.6775804;5.3469834;6.2367997;7.4858074
3.7551105;4.1714463;4.6939073;5.3633103;6.26129;7.510298
3.7877643;4.2041;4.7347245;5.4041276;6.310271;7.567442
3.8204181;4.2449174;4.775542;5.461272;6.367415;7.640913
3.853072;4.277571;4.816359;5.502089;6.4163957;7.7062206
3.8693988;4.3020616;4.8408494;5.5265794;6.4490495;7.7388744
3.9020526;4.3347154;4.873503;5.57556;6.49803;7.7960186
3.9183795;4.3592057;4.8979936;5.6000504;6.5306835;7.836836
3.9510334;4.3918595;4.938811;5.6408677;6.579664;7.89398
3.9755237;4.41635;4.9714646;5.681685;6.628645;7.951124
4.0081773;4.4490037;5.0041184;5.722502;6.6776257;8.008268
4.0489945;4.4979844;5.053099;5.7796464;6.7429333;8.089903
4.0816483;4.5388017;5.10208;5.8367906;6.808241;8.163374
4.114302;4.5714555;5.142897;5.877608;6.849058;8.220518
4.130629;4.5877824;5.1673875;5.902098;6.881712;8.261335
4.146956;4.6041093;5.175551;5.918425;6.9062023;8.285826
4.1714463;4.636763;5.216368;5.9592423;6.955183;8.34297
4.2041;4.669417;5.249022;6.0000596;7.0041637;8.400114
4.253081;4.7183976;5.3143296;6.0735307;7.077635;8.4980755
4.2612443;4.7347245;5.3306565;6.0898576;7.102125;8.522566
4.293898;4.7673783;5.3633103;6.130675;7.151106;8.57971
