##;##
@Chart
PowerConsumption;Cooling Power Consumption;Nb of deployed VMs
412.744;129.225;1
825.488;258.45;2
1356.729;424.775;3
1769.473;554.0;4
2182.217;683.225;5
2256.2778;706.412;6
2787.519;872.73694;7
2965.264;928.386;8
3039.325;951.573;9
3348.3848;1048.3357;10
3526.13;1103.985;11
3998.1218;1251.7599;12
4351.6177;1362.4349;13
4823.6104;1510.21;14
5132.6704;1606.9727;15
5604.6626;1754.7476;16
5900.9023;1847.4966;17
6372.8945;1995.2716;18
6785.6387;2124.4966;19
7257.631;2272.2717;20
7331.6904;2295.4597;21
7450.1875;2332.5588;22
7803.6836;2443.234;23
8216.428;2572.459;24
8629.172;2701.684;25
8806.915;2757.3342;26
9115.976;2854.097;27
9469.472;2964.772;28
9882.216;3093.997;29
10000.712;3131.097;30
10119.208;3168.1968;31
10428.268;3264.9595;32
10606.013;3320.6086;33
11137.254;3486.9336;34
11549.998;3616.1587;35
11624.059;3639.3457;36
11801.804;3694.9946;37
11979.549;3750.6436;38
12157.293;3806.2935;39
12466.353;3903.0564;40
12819.848;4013.7312;41
12997.592;4069.3813;42
13469.584;4217.1567;43
13588.081;4254.2554;44
13765.825;4309.9053;45
13943.57;4365.5547;46
14121.315;4421.204;47
14195.376;4444.391;48
14667.367;4592.166;49
14845.111;4647.815;50
14963.608;4684.914;51
15141.354;4740.5635;52
15319.099;4796.2124;53
15672.595;4906.887;54
15791.091;4943.9873;55
16028.084;5018.1865;56
16205.829;5073.836;57
16442.82;5148.0347;58
16620.564;5203.6846;59
16694.625;5226.8716;60
17107.37;5356.0967;61
17285.113;5411.7466;62
17522.107;5485.946;63
17875.604;5596.6206;64
18112.596;5670.821;65
18349.588;5745.0195;66
18527.332;5800.6685;67
18764.324;5874.8687;68
18942.068;5930.5176;69
19179.06;6004.7163;70
19416.053;6078.9165;71
19490.113;6102.1035;72
19727.105;6176.3022;73
19904.85;6231.952;74
20141.842;6306.1514;75
20378.834;6380.351;76
20556.578;6436.001;77
20734.322;6491.651;78
20852.818;6528.751;79
21030.562;6584.4;80
21208.307;6640.049;81
21386.05;6695.6987;82
21917.293;6862.0234;83
21991.354;6885.2114;84
22169.098;6940.8604;85
22346.842;6996.5103;86
22465.338;7033.6094;87
22643.082;7089.2583;88
22939.322;7182.0073;89
23176.314;7256.2065;90
23294.81;7293.3066;91
23472.555;7348.9565;92
23546.615;7372.1436;93
23620.676;7395.3306;94
23739.172;7432.4307;95
23857.668;7469.531;96
24094.66;7543.7305;97
24390.9;7636.4795;98
24568.645;7692.1294;99
24642.705;7715.3164;100
24820.45;7770.9653;101
24998.193;7826.6143;102
25175.938;7882.263;103
25353.682;7937.912;104
25472.178;7975.012;105
25709.168;8049.2124;106
25886.912;8104.8613;107
26005.408;8141.9614;108
26301.65;8234.71;109
26538.643;8308.91;110
26716.387;8364.559;111
