VirtualMachine [vmId=4, state=RUNNING, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=5, state=RUNNING, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=3] allocated to server with id: 3
VirtualMachine [vmId=2, state=RUNNING, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=3, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=582, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=578, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=6] allocated to server with id: 6
VirtualMachine [vmId=580, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=579, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=581, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=2, state=RUNNING, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=3, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=1, state=RUNNING, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=6] allocated to server with id: 6
VirtualMachine [vmId=5, state=RUNNING, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=3] allocated to server with id: 3
VirtualMachine [vmId=4, state=RUNNING, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=617, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=17] allocated to server with id: 17
VirtualMachine [vmId=627, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=3] allocated to server with id: 3
VirtualMachine [vmId=596, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=8] allocated to server with id: 8
VirtualMachine [vmId=592, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=602, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=4] allocated to server with id: 4
VirtualMachine [vmId=616, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=17] allocated to server with id: 17
VirtualMachine [vmId=587, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=597, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=8] allocated to server with id: 8
VirtualMachine [vmId=622, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=20] allocated to server with id: 20
VirtualMachine [vmId=606, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=14] allocated to server with id: 14
VirtualMachine [vmId=607, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=14] allocated to server with id: 14
VirtualMachine [vmId=591, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=621, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=20] allocated to server with id: 20
VirtualMachine [vmId=612, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=16] allocated to server with id: 16
VirtualMachine [vmId=611, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=16] allocated to server with id: 16
VirtualMachine [vmId=601, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=4] allocated to server with id: 4
VirtualMachine [vmId=586, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=3, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=2, state=RUNNING, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=4, state=RUNNING, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=1, state=RUNNING, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=6] allocated to server with id: 6
VirtualMachine [vmId=5, state=RUNNING, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=3] allocated to server with id: 3
VirtualMachine [vmId=1611, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=14] allocated to server with id: 14
VirtualMachine [vmId=1602, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=14] allocated to server with id: 14
VirtualMachine [vmId=1608, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=4] allocated to server with id: 4
VirtualMachine [vmId=1615, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=8] allocated to server with id: 8
VirtualMachine [vmId=1612, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=14] allocated to server with id: 14
VirtualMachine [vmId=1605, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=1610, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=1613, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=4] allocated to server with id: 4
VirtualMachine [vmId=1614, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=8] allocated to server with id: 8
VirtualMachine [vmId=1606, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=14] allocated to server with id: 14
VirtualMachine [vmId=1607, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=14] allocated to server with id: 14
VirtualMachine [vmId=1604, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=1609, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=1603, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=4] allocated to server with id: 4
VirtualMachine [vmId=1601, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=14] allocated to server with id: 14
VirtualMachine [vmId=2, state=RUNNING, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=3, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=5, state=RUNNING, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=3] allocated to server with id: 3
VirtualMachine [vmId=4, state=RUNNING, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=1, state=RUNNING, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=6] allocated to server with id: 6
VirtualMachine [vmId=1669, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=1668, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=14] allocated to server with id: 14
VirtualMachine [vmId=1664, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=1679, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=4] allocated to server with id: 4
VirtualMachine [vmId=1671, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=20] allocated to server with id: 20
VirtualMachine [vmId=1690, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=3] allocated to server with id: 3
VirtualMachine [vmId=1680, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=14] allocated to server with id: 14
VirtualMachine [vmId=1689, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=3] allocated to server with id: 3
VirtualMachine [vmId=1684, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=20] allocated to server with id: 20
VirtualMachine [vmId=1675, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=8] allocated to server with id: 8
VirtualMachine [vmId=1688, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=16] allocated to server with id: 16
VirtualMachine [vmId=1662, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=4] allocated to server with id: 4
VirtualMachine [vmId=1687, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=17] allocated to server with id: 17
VirtualMachine [vmId=1666, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=17] allocated to server with id: 17
VirtualMachine [vmId=1686, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=20] allocated to server with id: 20
VirtualMachine [vmId=1676, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=20] allocated to server with id: 20
VirtualMachine [vmId=1682, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=17] allocated to server with id: 17
VirtualMachine [vmId=1677, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=20] allocated to server with id: 20
VirtualMachine [vmId=1683, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=16] allocated to server with id: 16
