##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.08163265;0.08163265;0.08163265;0.08979592;0.10612244
0.114285715;0.12244898;0.13877553;0.15510206;0.17959186;0.22040819
0.16326533;0.17959186;0.20408168;0.22857144;0.26938772;0.31836727
0.22857144;0.25306123;0.28571424;0.32653055;0.3755101;0.45714265
0.2938775;0.32653055;0.36734682;0.42448962;0.48979568;0.5877548
0.3755101;0.41632637;0.46530592;0.530612;0.6204078;0.7428567
0.4489794;0.49795893;0.563265;0.6367343;0.7428567;0.8979586
0.46530592;0.5224487;0.5877548;0.66938734;0.7755097;0.9306116
0.5469385;0.6040813;0.6775506;0.7755097;0.90612185;1.0857135
0.61224455;0.6775506;0.76734644;0.8734688;1.0204074;1.2244889
