##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.08163265;0.08163265;0.08163265;0.08979592;0.10612244
0.10612244;0.114285715;0.13061225;0.14693879;0.1714286;0.20408168
0.16326533;0.17959186;0.20408168;0.22857144;0.26938772;0.31836727
0.21224493;0.2367347;0.26122448;0.30204076;0.3510203;0.41632637
0.277551;0.31020403;0.3510203;0.39999986;0.46530592;0.55510175
0.3346938;0.3755101;0.41632637;0.48163244;0.55510175;0.66938734
0.41632637;0.45714265;0.51428545;0.5877548;0.6857139;0.8244893
0.46530592;0.51428545;0.5795915;0.66122407;0.76734644;0.9224484
0.47346917;0.530612;0.59591806;0.6775506;0.7918362;0.94693816
0.49795893;0.5469385;0.6204078;0.7020404;0.8244893;0.9877544
0.563265;0.6204078;0.7020404;0.7999995;0.9306116;1.1183666
0.6204078;0.6857139;0.7755097;0.8816321;1.0285708;1.2326522
0.6775506;0.7510199;0.8408158;0.96326464;1.1265298;1.3469378
0.7510199;0.83265257;0.9387749;1.0775503;1.2489786;1.5020397
0.80816275;0.8979586;1.0122442;1.1591828;1.3469378;1.6163253
0.8244893;0.9142851;1.0285708;1.1755093;1.3714275;1.6408151
0.88979536;0.9877544;1.1102033;1.2734685;1.4775499;1.7795905
0.95510143;1.0612237;1.1918359;1.3632643;1.5918355;1.9102026
0.9795912;1.0857135;1.2163256;1.3959173;1.6244885;1.9510189
1.0448972;1.1591828;1.3061215;1.4857131;1.7387742;2.081631
