##;##
@Chart
PowerConsumption;Cooling Power Consumption;Nb of deployed VMs
353.496;110.675;1
766.24;239.90001;2
1238.232;387.67502;3
1769.473;554.0;4
2182.217;683.225;5
2654.2087;831.0;6
3066.9526;960.225;7
3479.6965;1089.45;8
3892.4404;1218.6749;9
4364.4326;1366.4498;10
4438.4937;1389.6368;11
4910.486;1537.4119;12
5219.546;1634.1746;13
5338.043;1671.2736;14
5456.54;1708.3735;15
5869.284;1837.5985;16
6282.0283;1966.8235;17
6694.7725;2096.0486;18
7226.014;2262.3735;19
7579.5103;2373.0486;20
7757.255;2428.698;21
8229.247;2576.4731;22
8303.308;2599.6602;23
8716.052;2728.8853;24
9069.548;2839.5603;25
9482.292;2968.7854;26
9660.036;3024.4355;27
10072.78;3153.6606;28
10146.841;3176.8477;29
10678.083;3343.1729;30
11150.074;3490.948;31
11268.571;3528.0469;32
11342.631;3551.234;33
11873.872;3717.559;34
12051.615;3773.209;35
12405.112;3883.884;36
12701.353;3976.633;37
12879.098;4032.282;38
13116.09;4106.481;39
13528.834;4235.706;40
13706.578;4291.356;41
13943.571;4365.5547;42
14356.315;4494.78;43
14709.812;4605.455;44
15122.556;4734.68;45
15196.616;4757.867;46
15374.361;4813.516;47
15552.105;4869.165;48
15729.851;4924.814;49
15966.844;4999.0127;50
16438.836;5146.7876;51
16616.58;5202.4365;52
16794.326;5258.0854;53
17031.318;5332.2847;54
17105.379;5355.4727;55
17179.44;5378.6597;56
17357.182;5434.3086;57
17475.678;5471.4087;58
17549.738;5494.5967;59
17845.979;5587.3457;60
18023.723;5642.9946;61
18436.467;5772.2197;62
18614.21;5827.8696;63
18688.271;5851.0566;64
18866.016;5906.7056;65
19103.01;5980.9043;66
19280.754;6036.5537;67
19458.498;6092.2026;68
19754.738;6184.9517;69
19932.482;6240.6006;70
20110.227;6296.2505;71
20287.97;6351.9004;72
20465.713;6407.5503;73
20702.705;6481.7495;74
20880.45;6537.3984;75
21058.193;6593.0483;76
21132.254;6616.2354;77
21206.314;6639.4224;78
21443.307;6713.622;79
21621.05;6769.272;80
21739.547;6806.3706;81
21858.043;6843.469;82
22154.283;6936.2183;83
22391.275;7010.4185;84
22509.771;7047.5176;85
22628.268;7084.6177;86
22865.262;7158.8174;87
23043.006;7214.4673;88
23117.064;7237.6543;89
23235.56;7274.7534;90
23309.621;7297.9404;91
23546.613;7372.1406;92
23724.357;7427.7896;93
