##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.08163265;0.08979592;0.09795918;0.114285715;0.13877553
0.14693879;0.16326533;0.18775514;0.21224493;0.24489796;0.2938775
0.22040819;0.24489796;0.277551;0.31836727;0.36734682;0.44081613
0.2938775;0.32653055;0.36734682;0.41632637;0.48163244;0.5795915
0.36734682;0.4081631;0.45714265;0.5224487;0.61224455;0.7346934
