##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.08979592;0.09795918;0.114285715;0.13061225;0.15510206
0.14693879;0.16326533;0.18775514;0.21224493;0.24489796;0.2938775
0.2367347;0.26122448;0.2938775;0.3346938;0.38367334;0.46530592
0.24489796;0.26938772;0.31020403;0.3510203;0.4081631;0.48979568
0.3346938;0.36734682;0.41632637;0.47346917;0.55510175;0.66122407
0.39999986;0.44081613;0.49795893;0.57142824;0.66122407;0.7918362
0.4489794;0.49795893;0.55510175;0.6367343;0.7428567;0.88979536
0.5224487;0.5795915;0.65306085;0.7510199;0.8734688;1.0448972
0.5795915;0.6448976;0.72653013;0.83265257;0.96326464;1.1591828
0.66122407;0.7346934;0.8244893;0.9387749;1.0938767;1.3142847
0.72653013;0.80816275;0.90612185;1.036734;1.2081624;1.4448968
0.7755097;0.8571423;0.96326464;1.10204;1.2897949;1.542856
0.8244893;0.9142851;1.0285708;1.1755093;1.3714275;1.6408151
0.90612185;1.0122442;1.134693;1.2979583;1.5102029;1.8122436
0.9714279;1.0775503;1.2081624;1.3795907;1.608162;1.9346924
1.0530605;1.1673461;1.3142847;1.5020397;1.7551007;2.1061208
1.1428564;1.2653052;1.420407;1.6244885;1.8938761;2.2775493
1.1999991;1.3306112;1.4938763;1.7061212;1.9918352;2.3918347
1.2734685;1.4122438;1.5918355;1.8204068;2.1224473;2.5469368
1.3387744;1.4938763;1.6734681;1.9183658;2.236733;2.677549
1.3714275;1.5183662;1.7142844;1.9591821;2.2775493;2.7346916
1.420407;1.575509;1.7714273;2.0244882;2.367345;2.8326507
1.4857131;1.6489784;1.8612231;2.1224473;2.4734674;2.971426
1.5673457;1.7387742;1.9510189;2.236733;2.6040795;3.126528
1.5999987;1.7795905;1.9999985;2.2857125;2.6693854;3.1999972
1.6326518;1.8122436;2.0408146;2.3265288;2.7183652;3.2571402
