##;##
@Airflow %
HACS volumetric airflow;CACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08979592;0.0;0.09795918;0.114285715;0.13061225;0.14693879;0.17959186
0.17959186;0.0;0.19591841;0.22040819;0.25306123;0.2938775;0.3510203
0.26122448;0.0;0.2938775;0.32653055;0.3755101;0.4326529;0.5224487
0.31836727;0.0;0.35918358;0.39999986;0.45714265;0.530612;0.6367343
0.36734682;0.0;0.4081631;0.46530592;0.530612;0.61224455;0.7346934
0.42448962;0.0;0.46530592;0.5224487;0.59591806;0.7020404;0.8408158
0.49795893;0.0;0.55510175;0.6204078;0.71020365;0.8244893;0.9877544
0.5387752;0.0;0.59591806;0.66938734;0.76734644;0.88979536;1.069387
0.55510175;0.0;0.6204078;0.6938771;0.7918362;0.9224484;1.1102033
0.61224455;0.0;0.6775506;0.76734644;0.8734688;1.0204074;1.2244889
0.62857103;0.0;0.6938771;0.7836729;0.88979536;1.036734;1.2489786
0.6857139;0.0;0.75918317;0.84897906;0.9714279;1.134693;1.3632643
0.7020404;0.0;0.7755097;0.8734688;1.0040809;1.1673461;1.3959173
0.75918317;0.0;0.8408158;0.94693816;1.0857135;1.2653052;1.5102029
0.7836729;0.0;0.8734688;0.9795912;1.1265298;1.3061215;1.5673457
0.81632596;0.0;0.90612185;1.0204074;1.1673461;1.355101;1.6326518
0.83265257;0.0;0.9224484;1.036734;1.1836727;1.3795907;1.6571417
0.8816321;0.0;0.9795912;1.0938767;1.257142;1.4612234;1.7551007
0.94693816;0.0;1.0530605;1.1836727;1.3469378;1.575509;1.8857129
0.9959177;0.0;1.10204;1.2408154;1.420407;1.6571417;1.9836719
1.0122442;0.0;1.1265298;1.2653052;1.4448968;1.6897947;2.0244882
1.10204;0.0;1.2244889;1.3714275;1.5673457;1.82857;2.1959167
1.1265298;0.0;1.257142;1.4122438;1.608162;1.8775495;2.2530594
1.1510196;0.0;1.2734685;1.4367336;1.6408151;1.9102026;2.2938757
1.2163256;0.0;1.3469378;1.5183662;1.730611;2.0244882;2.4244878
1.2326522;0.0;1.3714275;1.542856;1.763264;2.0571413;2.4653041
1.257142;0.0;1.3959173;1.5673457;1.7877537;2.0897942;2.5061204
1.2653052;0.0;1.4040805;1.5836722;1.8040802;2.1061208;2.5224469
1.3142847;0.0;1.4612234;1.6408151;1.8775495;2.1877534;2.620406
1.3387744;0.0;1.4938763;1.6734681;1.9183658;2.236733;2.677549
1.355101;0.0;1.5020397;1.6897947;1.9346924;2.2530594;2.7020385
1.4285704;0.0;1.5918355;1.7877537;2.0408146;2.3836715;2.8571405
1.4693866;0.0;1.6326518;1.8367333;2.0979576;2.4489777;2.9387732
1.5020397;0.0;1.6653049;1.8693863;2.138774;2.4979572;2.995916
1.5265294;0.0;1.6979579;1.9102026;2.17959;2.5387735;3.0530586
1.5673457;0.0;1.7387742;1.9591821;2.236733;2.6040795;3.126528
1.608162;0.0;1.7795905;2.0081618;2.2938757;2.6693854;3.2081606
1.6326518;0.0;1.8122436;2.0408146;2.334692;2.7183652;3.2653034
1.6816314;0.0;1.8693863;2.0979576;2.399998;2.7999976;3.3551013
1.7061212;0.0;1.9020394;2.138774;2.4408143;2.8489773;3.4122455
1.7387742;0.0;1.9346924;2.1714268;2.4816306;2.8979568;3.4775531
1.7551007;0.0;1.9510189;2.1959167;2.5061204;2.9306097;3.510207
1.7714273;0.0;1.9673454;2.212243;2.53061;2.9469364;3.5346973
1.7795905;0.0;1.9836719;2.2285697;2.5469368;2.971426;3.5591877
1.795917;0.0;1.9918352;2.2448962;2.5632632;2.9877527;3.583678
1.8448966;0.0;2.048978;2.302039;2.6285694;3.069385;3.6816394
1.8530598;0.0;2.0571413;2.3183656;2.6448958;3.0857117;3.7061298
1.8938761;0.0;2.1061208;2.367345;2.7020385;3.1510177;3.7796009
1.9020394;0.0;2.114284;2.3836715;2.7183652;3.1755075;3.8040912
1.9428556;0.0;2.1551003;2.4244878;2.775508;3.2326503;3.8857257
