##;##
@Chart
PowerConsumption;Cooling Power Consumption;Nb of deployed VMs
531.241;166.325;1
943.985;295.55;2
1475.2261;461.875;3
1887.9701;591.1;4
2197.03;687.8627;5
2609.774;817.08765;6
3022.518;946.3126;7
3435.262;1075.5376;8
3509.3228;1098.7246;9
3922.0667;1227.9496;10
4394.059;1375.7246;11
4806.803;1504.9496;12
5219.547;1634.1746;13
5632.291;1763.3995;14
6045.035;1892.6245;15
6163.532;1929.7235;16
6635.5244;2077.4985;17
6813.2695;2133.1477;18
6991.0146;2188.7969;19
7522.256;2355.1218;20
7699.9995;2410.772;21
8112.7437;2539.9968;22
8584.735;2687.772;23
8938.232;2798.447;24
9410.225;2946.2222;25
9587.97;3001.871;26
9824.963;3076.0703;27
10178.459;3186.7454;28
10356.203;3242.3953;29
10652.443;3335.1443;30
10961.503;3431.907;31
11374.247;3561.132;32
11905.487;3727.4573;33
12083.231;3783.1072;34
12320.225;3857.3062;35
12497.97;3912.955;36
12675.714;3968.6042;37
12912.707;4042.8032;38
13208.947;4135.5522;39
13283.008;4158.7393;40
13636.504;4269.414;41
13945.564;4366.1763;42
14123.31;4421.825;43
14301.055;4477.4746;44
14478.799;4533.1235;45
14715.79;4607.3228;46
14893.535;4662.972;47
15365.527;4810.7476;48
15484.023;4847.8477;49
15661.768;4903.4976;50
15839.513;4959.148;51
16193.009;5069.8228;52
16311.505;5106.9214;53
16489.248;5162.5713;54
16607.746;5199.6704;55
16726.242;5236.7705;56
17079.738;5347.446;57
17257.48;5403.0957;58
17331.541;5426.2827;59
17568.533;5500.4814;60
17687.03;5537.5815;61
17761.09;5560.7695;62
17938.834;5616.4185;63
18235.074;5709.1675;64
18309.135;5732.3545;65
18383.197;5755.5415;66
18457.258;5778.7285;67
18635.0;5834.3784;68
18753.496;5871.4785;69
18871.994;5908.5776;70
19049.738;5964.226;71
19286.729;6038.4263;72
19360.79;6061.6143;73
19538.533;6117.264;74
19657.03;6154.3643;75
20129.021;6302.139;76
20306.766;6357.789;77
20380.826;6380.976;78
20499.322;6418.076;79
20677.066;6473.725;80
20854.81;6529.375;81
20973.307;6566.475;82
21326.803;6677.15;83
21563.795;6751.349;84
21741.54;6806.998;85
21978.533;6881.1978;86
22156.277;6936.848;87
22334.021;6992.497;88
22511.766;7048.146;89
22689.51;7103.795;90
22926.504;7177.9937;91
23163.494;7252.194;92
23341.238;7307.843;93
23637.479;7400.5913;94
23815.223;7456.241;95
23933.72;7493.3403;96
24170.71;7567.5405;97
24348.455;7623.1895;98
24422.516;7646.3765;99
24496.574;7669.5635;100
24968.566;7817.3384;101
25146.31;7872.9883;102
25383.303;7947.188;103
25620.297;8021.387;104
25857.29;8095.5874;105
26094.281;8169.7876;106
26168.342;8192.975;107
26346.086;8248.623;108
26464.582;8285.723;109
26642.326;8341.372;110
26716.387;8364.559;111
20962.479;6451.7827;1
21315.975;6562.458;2
21390.035;6585.645;3
21743.531;6696.3203;4
22097.027;6806.995;5
22215.523;6844.0947;6
22334.02;6881.195;7
22452.516;6918.2944;8
22806.012;7028.969;9
22924.508;7066.0693;10
22998.566;7089.2563;11
23117.064;7126.356;12
23472.553;7237.655;13
23591.049;7274.755;14
23709.545;7311.854;15
23828.041;7348.954;16
23946.537;7386.0537;17
24065.033;7423.153;18
24183.53;7460.253;19
24435.334;7594.7393;20
24553.83;7631.8394;21
24672.328;7668.9385;22
24790.824;7706.0386;23
24909.32;7743.1387;24
25027.816;7780.239;25
25146.312;7817.3374;26
25264.809;7854.4375;27
25383.305;7891.5376;28
25501.8;7928.637;29
25620.299;7965.7363;30
25738.795;8002.8364;31
25857.291;8039.9365;32
25975.787;8077.0366;33
26094.283;8114.1367;34
26212.78;8151.237;35
26331.275;8188.337;36
26583.078;8322.822;37
26701.574;8359.923;38
