##;##
@FFD demo file.
PowerConsumption;Nb of deployed VMs
19902.857;1
19902.857;2
19902.857;3
19902.857;4
19902.857;5
19902.857;6
19902.857;7
19902.857;8
19902.857;9
19902.857;10
19902.857;11
19902.857;12
19902.857;13
19902.857;14
19902.857;15
19902.857;16
19902.857;17
19902.857;18
19902.857;19
19902.857;20
19902.857;21
19902.857;22
19902.857;23
19902.857;24
19902.857;25
19902.857;26
19902.857;27
19902.857;28
19902.857;29
19902.857;30
19902.857;31
19902.857;32
19902.857;33
19902.857;34
19902.857;35
19902.857;36
19902.857;37
19902.857;38
19902.857;39
19902.857;40
19902.857;41
19902.857;42
19902.857;43
19902.857;44
19902.857;45
19902.857;46
19902.857;47
19902.857;48
19902.857;49
19902.857;50
