##;##
@Chart
PowerConsumption;Cooling Power Consumption;Nb of deployed VMs
471.992;147.775;1
825.48804;258.45;2
1178.984;369.125;3
1591.728;498.35;4
1945.224;609.025;5
2357.968;738.25;6
2594.9612;812.44904;7
2831.9539;886.6479;8
3244.6978;1015.87286;9
3553.7578;1112.6356;10
3862.8179;1209.3983;11
4334.8096;1357.1733;12
4747.5537;1486.3983;13
5101.05;1597.0732;14
5410.11;1693.8359;15
5822.854;1823.0609;16
6235.598;1952.2859;17
6707.5903;2100.0608;18
7061.087;2210.7358;19
7473.831;2339.961;20
7827.3267;2450.636;21
8136.3867;2547.3987;22
8314.132;2603.048;23
8623.191;2699.8108;24
9154.433;2866.1362;25
9272.929;2903.236;26
9346.99;2926.423;27
9583.981;3000.623;28
10055.974;3148.3982;29
10233.718;3204.0476;30
10411.463;3259.6965;31
10589.208;3315.3455;32
11001.952;3444.5706;33
11473.945;3592.346;34
12005.186;3758.671;35
12242.179;3832.8699;36
12360.676;3869.969;37
12669.735;3966.7317;38
12788.231;4003.8315;39
12965.977;4059.4805;40
