##;##
@FFD demo file.
PowerConsumption;Nb of deployed VMs
7594.06;1
7668.12;2
7964.3613;3
8038.421;4
8112.481;5
8186.541;6
8260.602;7
8556.842;8
8853.082;9
9149.323;10
9445.564;11
9519.625;12
9593.685;13
9667.745;14
9741.807;15
10038.047;16
10112.108;17
10408.348;18
10482.409;19
10556.469;20
10630.529;21
10704.59;22
10778.648;23
10852.709;24
11148.949;25
11223.01;26
11297.069;27
11371.129;28
11667.369;29
11741.43;30
11815.489;31
11889.549;32
11963.61;33
12037.67;34
12111.7295;35
12185.789;36
12259.85;37
12333.91;38
12407.97;39
12482.029;40
12556.09;41
12630.149;42
12704.209;43
13000.449;44
13074.51;45
13148.57;46
13222.63;47
13296.689;48
13370.75;49
13444.811;50
