##;##
@FFD demo file.
PowerConsumption;Nb of deployed VMs
531.241;1
840.301;2
1149.3611;3
1458.4211;4
1767.4812;5
1841.5411;6
2372.7822;7
2446.8423;8
2520.9019;9
2829.962;10
2904.023;11
3435.2642;12
3509.3242;13
3805.564;14
3879.624;15
3953.685;16
4027.746;17
4558.987;18
4633.048;19
4707.108;20
5238.349;21
5534.5894;22
5608.6494;23
5682.7104;24
5756.7705;25
5830.83;26
5904.89;27
5978.95;28
6053.01;29
6127.07;30
6201.13;31
6275.19;32
6349.25;33
6423.3096;34
6497.37;35
6793.6094;36
6867.67;37
6941.73;38
7015.7896;39
7089.8496;40
7163.9097;41
7237.9697;42
7312.03;43
7386.09;44
7682.3296;45
7756.3896;46
8052.63;47
8126.69;48
8200.75;49
8274.811;50
