##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08979592;0.09795918;0.114285715;0.13061225;0.14693879;0.17959186
0.16326533;0.18775514;0.20408168;0.2367347;0.277551;0.32653055
0.2367347;0.26122448;0.2938775;0.3346938;0.38367334;0.46530592
0.2938775;0.32653055;0.36734682;0.41632637;0.48163244;0.5795915
0.34285706;0.3755101;0.42448962;0.48979568;0.563265;0.6775506
