##;##
@FFD demo file.
PowerConsumption;Nb of deployed VMs
531.241;1
840.301;2
914.361;3
988.422;4
1297.4819;5
1606.542;6
1680.602;7
1976.842;8
2285.902;9
2359.962;10
2891.2031;11
3422.4443;12
3496.5051;13
3805.5652;14
3879.6252;15
3953.686;16
4484.927;17
4558.987;18
4633.047;19
4707.107;20
4781.167;21
5077.4077;22
5151.4688;23
5225.529;24
5299.5884;25
5373.6494;26
5447.7095;27
5521.769;28
5595.8296;29
5669.889;30
5743.9497;31
6040.189;32
6114.2495;33
6645.4897;34
6719.5503;35
6793.6104;36
6867.67;37
6941.7305;38
7015.79;39
7089.8496;40
7163.91;41
7237.9697;42
7534.21;43
7608.2695;44
7682.3296;45
7756.3896;46
7830.4497;47
7904.51;48
8200.75;49
8274.811;50
