##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.08979592;0.09795918;0.114285715;0.13061225;0.15510206
0.14693879;0.16326533;0.18775514;0.21224493;0.24489796;0.2938775
0.2367347;0.26122448;0.2938775;0.3346938;0.38367334;0.46530592
0.31020403;0.34285706;0.38367334;0.44081613;0.51428545;0.6204078
0.3755101;0.41632637;0.47346917;0.5387752;0.62857103;0.7510199
0.4326529;0.48163244;0.5469385;0.6204078;0.72653013;0.86530554
0.51428545;0.57142824;0.6367343;0.72653013;0.84897906;1.0204074
0.59591806;0.66122407;0.7428567;0.84897906;0.9959177;1.1918359
