##;##
@FFD demo file.
PowerConsumption;Nb of deployed VMs
531.241;1
840.301;2
1149.3611;3
1458.4211;4
1532.481;5
1606.542;6
1680.602;7
1976.842;8
2285.902;9
2359.962;10
2669.022;11
2743.082;12
2817.1428;13
2891.203;14
2965.264;15
3039.324;16
3113.384;17
3187.444;18
3261.5042;19
3335.5642;20
3866.8054;21
4398.046;22
4472.1074;23
5003.3477;24
5077.408;25
5151.4688;26
5225.5293;27
5299.59;28
5373.6494;29
5447.709;30
5521.7695;31
5595.829;32
5669.8887;33
5743.949;34
5818.0093;35
5892.0693;36
5966.129;37
6497.37;38
6571.4297;39
6645.49;40
6941.7295;41
7015.7896;42
7089.8496;43
7386.09;44
7460.15;45
7756.3896;46
7830.4497;47
7904.51;48
7978.57;49
8274.811;50
