##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.08163265;0.08163265;0.08163265;0.08979592;0.10612244
0.08163265;0.08979592;0.10612244;0.114285715;0.13877553;0.16326533
0.1714286;0.18775514;0.21224493;0.2367347;0.277551;0.3346938
0.17959186;0.20408168;0.22857144;0.26122448;0.30204076;0.35918358
0.20408168;0.22040819;0.25306123;0.28571424;0.3346938;0.39999986
0.24489796;0.277551;0.31020403;0.3510203;0.4081631;0.48979568
0.32653055;0.35918358;0.4081631;0.46530592;0.5387752;0.6448976
0.3510203;0.39183658;0.44081613;0.5061222;0.5877548;0.7020404
0.39183658;0.4326529;0.48979568;0.563265;0.65306085;0.7836729
0.4081631;0.45714265;0.51428545;0.5877548;0.6857139;0.81632596
