##;##
@Chart
PowerConsumption;Cooling Power Consumption;Nb of deployed VMs
309.06;96.7627;1
618.12;193.5254;2
692.18;216.7127;3
1164.173;364.48767;4
1695.414;530.8127;5
2108.158;660.03766;6
2639.399;826.36273;7
3111.392;974.13763;8
3642.6328;1140.4626;9
4114.626;1288.2377;10
4292.3706;1343.887;11
4410.8667;1380.986;12
4764.363;1491.661;13
4942.1074;1547.311;14
5251.1675;1644.0737;15
5369.6646;1681.1737;16
5665.9043;1773.9227;17
5843.6484;1829.5718;18
6152.7085;1926.3345;19
6683.949;2092.6594;20
7037.4453;2203.3345;21
7111.5063;2226.5215;22
7230.0034;2263.6216;23
7407.7485;2319.2705;24
7644.7407;2393.4705;25
7998.237;2504.1455;26
8072.297;2527.3335;27
8250.04;2582.9836;28
8368.536;2620.0825;29
