##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.08163265;0.08163265;0.08163265;0.08979592;0.10612244
0.114285715;0.12244898;0.13877553;0.15510206;0.17959186;0.22040819
0.13061225;0.14693879;0.16326533;0.18775514;0.21224493;0.26122448
0.1714286;0.18775514;0.21224493;0.2367347;0.277551;0.3346938
0.20408168;0.22857144;0.26122448;0.2938775;0.34285706;0.4081631
0.2367347;0.26122448;0.2938775;0.3346938;0.39183658;0.47346917
0.24489796;0.277551;0.31020403;0.3510203;0.4081631;0.48979568
0.3346938;0.3755101;0.41632637;0.47346917;0.55510175;0.66938734
0.36734682;0.39999986;0.45714265;0.51428545;0.6040813;0.72653013
0.4081631;0.45714265;0.51428545;0.5877548;0.6857139;0.81632596
