##;##
@Airflow
HACS volumetric airflow;CACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.0;0.08163265;0.08163265;0.08979592;0.09795918;0.12244898
0.13877553;0.0;0.15510206;0.1714286;0.19591841;0.22857144;0.26938772
0.20408168;0.0;0.22857144;0.25306123;0.2938775;0.34285706;0.4081631
0.2938775;0.0;0.32653055;0.36734682;0.41632637;0.48163244;0.5795915
0.34285706;0.0;0.3755101;0.42448962;0.48979568;0.563265;0.6775506
0.41632637;0.0;0.46530592;0.5224487;0.59591806;0.6938771;0.83265257
0.4326529;0.0;0.48163244;0.5387752;0.61224455;0.7183669;0.8571423
0.4489794;0.0;0.49795893;0.563265;0.6367343;0.7428567;0.8979586
0.51428545;0.0;0.57142824;0.6448976;0.7346934;0.8571423;1.0285708
0.59591806;0.0;0.66122407;0.7428567;0.84897906;0.9877544;1.1836727
0.6040813;0.0;0.66938734;0.75918317;0.86530554;1.0040809;1.2081624
0.62857103;0.0;0.6938771;0.7836729;0.88979536;1.036734;1.2489786
0.6448976;0.0;0.7183669;0.7999995;0.9142851;1.069387;1.2816317
0.66122407;0.0;0.7346934;0.8244893;0.94693816;1.10204;1.322448
0.6775506;0.0;0.7510199;0.8408158;0.96326464;1.1265298;1.3469378
0.6938771;0.0;0.76734644;0.86530554;0.9877544;1.1510196;1.3877541
0.7428567;0.0;0.8244893;0.9306116;1.0612237;1.2326522;1.4775499
