##;##
@Chart
PowerConsumption;Cooling Power Consumption;Nb of deployed VMs
309.06;96.7627;1
618.12;193.5254;2
971.61597;304.2004;3
1149.361;359.84973;4
1680.6019;526.1747;5
1799.099;563.27466;6
2211.843;692.49976;7
2520.903;789.26245;8
3052.1438;955.5874;9
3170.6409;992.6874;10
3289.137;1029.7864;11
3820.3782;1196.1113;12
4292.371;1343.8864;13
4366.431;1367.0736;14
4544.176;1422.7229;15
4618.237;1445.9099;16
5030.981;1575.1349;17
5502.974;1722.9099;18
5621.47;1760.0089;19
6093.4634;1907.7839;20
6389.7036;2000.533;21
6743.1997;2111.208;22
6920.944;2166.858;23
6995.004;2190.046;24
7526.245;2356.3708;25
7644.74;2393.4697;26
7763.2363;2430.5698;27
7837.296;2453.7568;28
8015.04;2509.407;29
8192.785;2565.056;30
8370.528;2620.7048;31
8489.024;2657.804;32
8563.084;2680.992;33
8859.324;2773.741;34
9096.316;2847.9412;35
9392.557;2940.6902;36
9629.549;3014.89;37
9748.045;3051.9897;38
9822.105;3075.1768;39
9896.165;3098.3638;40
10073.909;3154.0132;41
10192.405;3191.113;42
10501.465;3287.8757;43
10738.458;3362.0747;44
10975.45;3436.2744;45
11049.511;3459.4624;46
11227.255;3515.1113;47
11404.999;3570.7605;48
11701.239;3663.5095;49
11938.231;3737.7095;50
