##;##
@Chart
PowerConsumption;Cooling Power Consumption;Nb of deployed VMs
412.744;129.225;1
766.24;239.90001;2
1297.481;406.22498;3
1769.474;554.0;4
2182.218;683.225;5
2359.9631;738.87396;6
2713.4592;849.54895;7
3022.5193;946.31165;8
3553.7603;1112.6366;9
3850.0002;1205.3856;10
3924.0613;1228.5726;11
4233.121;1325.3353;12
4764.3623;1491.6605;13
4882.8594;1528.7605;14
5354.852;1676.5355;15
5708.3486;1787.2104;16
5826.8447;1824.3094;17
6358.0854;1990.6345;18
6595.0776;2064.8335;19
6904.1377;2161.5962;20
7081.882;2217.2463;21
7318.8745;2291.445;22
7392.9346;2314.6323;23
7746.4307;2425.3074;24
7924.176;2480.9573;25
7998.236;2504.1443;26
8116.732;2541.2434;27
8353.725;2615.4424;28
8472.22;2652.5413;29
8768.46;2745.2905;30
8946.205;2800.9397;31
9020.266;2824.1267;32
9138.762;2861.2268;33
9212.822;2884.4148;34
9390.566;2940.0647;35
9568.311;2995.7146;36
9805.303;3069.9148;37
10101.542;3162.6638;38
10279.286;3218.3137;39
10457.03;3273.9626;40
10575.526;3311.0625;41
10649.586;3334.2495;42
10723.646;3357.4365;43
10797.706;3380.6235;44
10871.767;3403.8115;45
10990.263;3440.9116;46
11286.503;3533.6606;47
11523.495;3607.8606;48
11701.239;3663.5095;49
11938.231;3737.7095;50
