##;##
@Chart
PowerConsumption;Cooling Power Consumption;Nb of deployed VMs
309.06;96.7627;1
662.556;207.43771;2
1075.3;336.66272;3
1606.541;502.98767;4
2078.534;650.7627;5
2152.594;673.95;6
2624.587;821.725;7
3037.331;950.94995;8
3568.5723;1117.2749;9
3687.0688;1154.3749;10
4159.062;1302.1499;11
4277.559;1339.2499;12
4749.5522;1487.0249;13
4986.544;1561.224;14
5517.785;1727.549;15
5591.846;1750.736;16
5900.9062;1847.4987;17
6197.1465;1940.2477;18
6315.6426;1977.3467;19
6389.7036;2000.5337;20
6802.4478;2129.7588;21
6876.508;2152.9468;22
6995.003;2190.0457;23
7172.748;2245.6948;24
7291.245;2282.794;25
7528.2363;2356.993;26
7705.9814;2412.642;27
7780.041;2435.829;28
7898.537;2472.928;29
8076.2803;2528.5781;30
8150.3403;2551.7651;31
8268.837;2588.865;32
8446.581;2644.5151;33
8624.325;2700.165;34
8861.317;2774.365;35
9157.558;2867.114;36
9335.302;2922.763;37
9409.361;2945.95;38
9646.354;3020.15;39
9824.097;3075.7998;40
10120.337;3168.5488;41
10238.833;3205.6487;42
10770.074;3371.9739;43
10844.135;3395.161;44
10962.631;3432.261;45
