##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.08163265;0.08163265;0.08163265;0.08979592;0.10612244
0.12244898;0.13061225;0.14693879;0.1714286;0.19591841;0.2367347
0.18775514;0.21224493;0.2367347;0.26938772;0.31020403;0.3755101
0.26122448;0.2938775;0.32653055;0.3755101;0.44081613;0.5224487
0.3346938;0.36734682;0.41632637;0.47346917;0.5469385;0.66122407
0.39999986;0.44081613;0.49795893;0.57142824;0.66122407;0.7918362
0.46530592;0.51428545;0.5795915;0.66122407;0.7755097;0.9306116
0.51428545;0.57142824;0.6448976;0.7346934;0.8571423;1.0285708
0.57142824;0.6367343;0.7183669;0.81632596;0.95510143;1.1428564
0.62857103;0.7020404;0.7918362;0.8979586;1.0530605;1.257142
0.71020365;0.7836729;0.8816321;1.0122442;1.1755093;1.4122438
0.72653013;0.80816275;0.90612185;1.036734;1.2081624;1.4530602
0.7755097;0.86530554;0.9714279;1.1102033;1.2897949;1.5510192
0.8244893;0.9224484;1.036734;1.1836727;1.3795907;1.6489784
0.8979586;0.9959177;1.1183666;1.2734685;1.4857131;1.7877537
0.96326464;1.069387;1.1999991;1.3714275;1.5999987;1.9183658
1.036734;1.1510196;1.2979583;1.4857131;1.730611;2.0734677
1.0938767;1.2163256;1.3714275;1.5673457;1.8204068;2.1877534
1.134693;1.257142;1.420407;1.6163253;1.8857129;2.2612226
1.1836727;1.3142847;1.4775499;1.6897947;1.9755087;2.367345
1.257142;1.4040805;1.575509;1.795917;2.0979576;2.5142837
1.2897949;1.4367336;1.608162;1.8448966;2.1469371;2.5795896
1.3061215;1.4530602;1.6326518;1.8693863;2.17959;2.6122427
1.3306112;1.4775499;1.6571417;1.8938761;2.212243;2.653059
1.4122438;1.575509;1.7714273;2.016325;2.359182;2.8244874
1.4857131;1.6489784;1.8530598;2.114284;2.4653041;2.9632628
1.5591824;1.730611;1.9510189;2.2285697;2.5959163;3.1102014
1.6244885;1.8040802;2.0326514;2.3183656;2.7102017;3.2489767
1.6571417;1.8367333;2.0653045;2.359182;2.751018;3.3061206
1.6897947;1.8775495;2.114284;2.4163246;2.8163242;3.3795917
1.7224476;1.9102026;2.1551003;2.457141;2.8653038;3.4367359
1.7714273;1.9673454;2.212243;2.53061;2.9469364;3.5428607
1.8040802;1.9999985;2.2530594;2.5714264;2.995916;3.600005
1.82857;2.0326514;2.2857125;2.6122427;3.0448954;3.657149
1.8612231;2.0653045;2.3183656;2.653059;3.093875;3.7142932
1.8857129;2.0979576;2.359182;2.6938753;3.1428545;3.7714374
1.9020394;2.114284;2.3755083;2.7102017;3.1673443;3.7959278
1.9836719;2.2040799;2.4816306;2.8326507;3.3061206;3.9673603
1.9999985;2.2204063;2.4979572;2.8489773;3.330611;3.9918506
2.0244882;2.2530594;2.53061;2.8897934;3.3714283;4.0489945
2.0653045;2.2938757;2.5795896;2.9469364;3.4367359;4.130629
2.0979576;2.3265288;2.620406;2.9877527;3.4857166;4.187773
2.1224473;2.359182;2.653059;3.028569;3.5346973;4.2449174
2.1551003;2.3918347;2.685712;3.069385;3.583678;4.3020616
2.1877534;2.432651;2.7346916;3.126528;3.6489856;4.3755326
2.236733;2.4897938;2.7999976;3.1999972;3.7306201;4.473494
2.269386;2.5224469;2.8326507;3.2408135;3.7796009;4.530638
2.2857125;2.5387735;2.8571405;3.2653034;3.8122547;4.5714555
2.302039;2.5551;2.873467;3.2816303;3.8285816;4.595946
2.3265288;2.587753;2.90612;3.3224475;3.8775623;4.65309
2.3428552;2.5959163;2.9224465;3.3387744;3.8938892;4.6775804
2.3918347;2.653059;2.9877527;3.4122455;3.9836872;4.775542
2.4653041;2.7428548;3.0857117;3.5183704;4.1061387;4.9306474
2.4816306;2.751018;3.093875;3.5428607;4.130629;4.9551377
2.5061204;2.7836711;3.1346912;3.583678;4.17961;5.012282
2.5632632;2.8489773;3.2081606;3.6653125;4.2694077;5.12657
2.6448958;2.9306097;3.2979572;3.7714374;4.400023;5.281676
2.6612222;2.9550996;3.3224475;3.7959278;4.432677;5.3143296
2.7020385;2.995916;3.3714283;3.853072;4.4979844;5.395964
2.7591813;3.0612218;3.4448993;3.9347064;4.595946;5.5102525
2.7836711;3.093875;3.4775531;3.9755237;4.636763;5.5673966
2.873467;3.191834;3.5918415;4.0979753;4.783705;5.738829
2.9142833;3.2326503;3.6408222;4.1551194;4.849013;5.8204637
2.9469364;3.2734668;3.6816394;4.2122636;4.9143205;5.8939347
2.971426;3.2979572;3.7061298;4.236754;4.9469743;5.934752
2.995916;3.330611;3.746947;4.277571;4.995955;5.991896
3.0122423;3.346938;3.7714374;4.310225;5.0204453;6.02455
3.0367322;3.3714283;3.7959278;4.3347154;5.053099;6.065367
3.0775485;3.4122455;3.8449085;4.3918595;5.118407;6.1470017
3.1020381;3.4448993;3.8775623;4.432677;5.1673875;6.204146
3.1346912;3.4775531;3.910216;4.473494;5.216368;6.26129
3.1428545;3.49388;3.926543;4.489821;5.2408586;6.2857804
3.1836708;3.5346973;3.9755237;4.546965;5.2980027;6.3592515
3.2081606;3.567351;4.0163407;4.5877824;5.3469834;6.4163957
3.224487;3.583678;4.024504;4.6041093;5.371474;6.440886
3.2489767;3.6163318;4.0653214;4.6449265;5.4204545;6.49803
3.2816303;3.6489856;4.0979753;4.685744;5.469435;6.555174
3.2979572;3.6653125;4.1224656;4.710234;5.4939256;6.595991
3.3224475;3.689803;4.146956;4.742888;5.5265794;6.6368084
3.346938;3.7224567;4.187773;4.783705;5.57556;6.6939526
3.3795917;3.7551105;4.220427;4.8245225;5.624541;6.7510967
3.4122455;3.7959278;4.2694077;4.8816667;5.6898484;6.824568
