##;##
@Airflow %
HACS volumetric airflow;CACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.0;0.08979592;0.09795918;0.114285715;0.13061225;0.15510206
0.14693879;0.0;0.16326533;0.18775514;0.21224493;0.24489796;0.2938775
0.17959186;0.0;0.19591841;0.22040819;0.25306123;0.2938775;0.3510203
0.22857144;0.0;0.25306123;0.28571424;0.31836727;0.3755101;0.4489794
0.28571424;0.0;0.31836727;0.3510203;0.4081631;0.47346917;0.563265
0.35918358;0.0;0.39999986;0.4489794;0.51428545;0.59591806;0.7183669
0.42448962;0.0;0.47346917;0.530612;0.61224455;0.71020365;0.84897906
0.5061222;0.0;0.563265;0.62857103;0.7183669;0.8408158;1.0040809
0.5224487;0.0;0.5795915;0.65306085;0.7428567;0.8734688;1.0448972
0.61224455;0.0;0.6775506;0.75918317;0.8734688;1.0122442;1.2163256
0.66938734;0.0;0.7428567;0.83265257;0.95510143;1.1102033;1.3306112
0.6775506;0.0;0.7510199;0.84897906;0.9714279;1.1265298;1.355101
0.75918317;0.0;0.8408158;0.94693816;1.0775503;1.257142;1.5102029
0.7918362;0.0;0.8816321;0.9959177;1.134693;1.322448;1.5836722
0.8244893;0.0;0.9142851;1.0285708;1.1755093;1.3714275;1.6408151
