##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.08163265;0.08163265;0.08163265;0.08979592;0.10612244
0.114285715;0.12244898;0.13877553;0.15510206;0.17959186;0.22040819
0.13877553;0.15510206;0.1714286;0.19591841;0.22857144;0.277551
0.1714286;0.18775514;0.21224493;0.2367347;0.277551;0.3346938
0.18775514;0.21224493;0.2367347;0.26938772;0.31020403;0.3755101
0.22040819;0.24489796;0.26938772;0.31020403;0.35918358;0.4326529
0.24489796;0.26938772;0.31020403;0.3510203;0.4081631;0.48979568
