##;##
@FFD demo file.
PowerConsumption;Nb of deployed VMs
7594.06;1
7668.12;2
7742.18;3
8038.421;4
8334.662;5
8630.903;6
8704.963;7
8779.023;8
8853.084;9
8927.144;10
9223.385;11
9297.444;12
9371.506;13
9445.565;14
9519.627;15
9815.867;16
9889.928;17
9963.988;18
10038.049;19
10112.109;20
10186.17;21
10260.2295;22
10334.289;23
10630.529;24
10704.59;25
10778.65;26
10852.711;27
10926.7705;28
11000.83;29
11074.89;30
11148.949;31
11223.01;32
11519.25;33
11593.311;34
11667.37;35
11741.43;36
12037.67;37
12111.73;38
12185.79;39
12259.85;40
12333.91;41
12407.97;42
12482.029;43
12556.09;44
12630.15;45
12926.39;46
13000.449;47
13074.51;48
13370.75;49
13444.811;50
