##;##
@Chart
PowerConsumption;Cooling Power Consumption;Nb of deployed VMs
309.06;96.7627;1
618.12;193.5254;2
927.18;290.28812;3
1399.1731;438.06308;4
1473.2329;461.25037;5
1826.729;571.9254;6
2357.9702;738.2504;7
2432.031;761.4374;8
2741.091;858.2001;9
3272.332;1024.525;10
3685.076;1153.75;11
4038.572;1264.425;12
4392.068;1375.1001;13
4629.06;1449.2991;14
4806.805;1504.9484;15
4925.3013;1542.0483;16
5103.0454;1597.6984;17
5456.5415;1708.3734;18
5752.7817;1801.1224;19
5989.7744;1875.3214;20
6108.2715;1912.4214;21
6226.7686;1949.5214;22
6345.2646;1986.6204;23
6523.01;2042.2694;24
6641.5054;2079.3694;25
6819.2505;2135.0188;26
7350.4917;2301.3438;27
7703.988;2412.0188;28
8000.228;2504.7678;29
8074.288;2527.9558;30
8252.031;2583.6057;31
8783.271;2749.9304;32
8961.016;2805.5793;33
9035.076;2828.7664;34
9212.819;2884.4158;35
9390.563;2940.0657;36
9464.624;2963.2527;37
9538.684;2986.4397;38
9775.677;3060.6384;39
9849.737;3083.8264;40
10086.7295;3158.0266;41
10382.97;3250.7756;42
10619.963;3324.9744;43
10797.706;3380.6248;44
10975.451;3436.2737;45
11212.443;3510.4734;46
11508.684;3603.2224;47
11745.676;3677.4226;48
11864.172;3714.5225;49
11938.231;3737.7095;50
