##;##
@Airflow2
HACS volumetric airflow;CACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.0;0.08163265;0.08979592;0.09795918;0.114285715;0.13877553
0.12244898;0.0;0.13061225;0.14693879;0.1714286;0.19591841;0.2367347
0.14693879;0.0;0.16326533;0.18775514;0.21224493;0.24489796;0.2938775
0.20408168;0.0;0.22040819;0.25306123;0.28571424;0.3346938;0.39999986
0.26122448;0.0;0.28571424;0.31836727;0.36734682;0.42448962;0.51428545
0.34285706;0.0;0.38367334;0.4326529;0.48979568;0.57142824;0.6857139
0.42448962;0.0;0.46530592;0.5224487;0.59591806;0.7020404;0.8408158
0.48163244;0.0;0.530612;0.59591806;0.6775506;0.7918362;0.95510143
0.55510175;0.0;0.61224455;0.6938771;0.7918362;0.9224484;1.10204
0.5877548;0.0;0.6448976;0.72653013;0.83265257;0.9714279;1.1673461
0.61224455;0.0;0.6775506;0.76734644;0.8734688;1.0204074;1.2244889
0.62857103;0.0;0.7020404;0.7918362;0.8979586;1.0530605;1.257142
0.71020365;0.0;0.7836729;0.8816321;1.0122442;1.1755093;1.4122438
0.7510199;0.0;0.83265257;0.9306116;1.069387;1.2408154;1.4938763
0.76734644;0.0;0.84897906;0.95510143;1.0938767;1.2734685;1.5265294
0.84897906;0.0;0.94693816;1.0612237;1.2163256;1.420407;1.6979579
0.88979536;0.0;0.9877544;1.1102033;1.2734685;1.4857131;1.7795905
