##;##
@Airflow %
HACS volumetric airflow;CACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.0;0.08163265;0.08163265;0.08979592;0.09795918;0.12244898
0.114285715;0.0;0.12244898;0.13877553;0.15510206;0.17959186;0.22040819
0.19591841;0.0;0.22040819;0.24489796;0.277551;0.32653055;0.39183658
0.26122448;0.0;0.2938775;0.32653055;0.3755101;0.44081613;0.5224487
0.34285706;0.0;0.3755101;0.42448962;0.48979568;0.563265;0.6775506
0.42448962;0.0;0.47346917;0.530612;0.61224455;0.71020365;0.84897906
0.44081613;0.0;0.48979568;0.5469385;0.62857103;0.7346934;0.8734688
0.4489794;0.0;0.49795893;0.563265;0.6448976;0.7510199;0.8979586
0.5387752;0.0;0.59591806;0.66938734;0.76734644;0.8979586;1.069387
0.5877548;0.0;0.65306085;0.7346934;0.83265257;0.9714279;1.1673461
0.6040813;0.0;0.66938734;0.75918317;0.86530554;1.0040809;1.2081624
0.6367343;0.0;0.7020404;0.7918362;0.90612185;1.0530605;1.2653052
0.6938771;0.0;0.76734644;0.86530554;0.9877544;1.1510196;1.3795907
0.7020404;0.0;0.7836729;0.8816321;1.0040809;1.1673461;1.4040805
0.7836729;0.0;0.86530554;0.9714279;1.1102033;1.2979583;1.5591824
0.8408158;0.0;0.9306116;1.0448972;1.1918359;1.3959173;1.6734681
0.90612185;0.0;1.0040809;1.1265298;1.2897949;1.5020397;1.8040802
0.9714279;0.0;1.0775503;1.2163256;1.3877541;1.6163253;1.9428556
0.9877544;0.0;1.10204;1.2408154;1.4122438;1.6489784;1.9755087
1.0040809;0.0;1.1183666;1.257142;1.4285704;1.6734681;1.9999985
1.0285708;0.0;1.1428564;1.2897949;1.4693866;1.7142844;2.0571413
1.069387;0.0;1.1918359;1.3387744;1.5265294;1.7795905;2.138774
1.1510196;0.0;1.2734685;1.4367336;1.6408151;1.9102026;2.2938757
1.2326522;0.0;1.3714275;1.542856;1.763264;2.0571413;2.4653041
1.2489786;0.0;1.3877541;1.5591824;1.7795905;2.0734677;2.4897938
1.257142;0.0;1.3959173;1.575509;1.795917;2.0979576;2.5142837
1.2734685;0.0;1.420407;1.5918355;1.8204068;2.1224473;2.5469368
1.2897949;0.0;1.4285704;1.608162;1.8367333;2.1469371;2.5714264
1.3142847;0.0;1.4612234;1.6489784;1.8775495;2.1959167;2.6285694
1.3632643;0.0;1.5183662;1.7061212;1.9510189;2.2775493;2.7265284
1.3795907;0.0;1.5346926;1.7224476;1.9673454;2.2938757;2.751018
1.4040805;0.0;1.5591824;1.7551007;2.0081618;2.3428552;2.808161
1.4285704;0.0;1.5836722;1.7795905;2.0326514;2.3755083;2.8489773
1.4612234;0.0;1.6244885;1.82857;2.0897942;2.4408143;2.9224465
1.4775499;0.0;1.6408151;1.8448966;2.1061208;2.457141;2.9469364
1.5020397;0.0;1.6734681;1.8775495;2.1469371;2.5061204;3.004079
