##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.08979592;0.09795918;0.114285715;0.13061225;0.15510206
0.13877553;0.15510206;0.1714286;0.19591841;0.22857144;0.26938772
0.19591841;0.22040819;0.24489796;0.277551;0.32653055;0.38367334
0.26122448;0.2938775;0.32653055;0.3755101;0.4326529;0.5224487
0.31836727;0.35918358;0.39999986;0.45714265;0.530612;0.6367343
0.38367334;0.4326529;0.48163244;0.55510175;0.6448976;0.76734644
0.42448962;0.47346917;0.530612;0.6040813;0.71020365;0.84897906
0.46530592;0.51428545;0.5795915;0.66122407;0.76734644;0.9224484
0.530612;0.5877548;0.66122407;0.75918317;0.8816321;1.0612237
0.5795915;0.6448976;0.72653013;0.83265257;0.96326464;1.1591828
0.62857103;0.7020404;0.7918362;0.8979586;1.0530605;1.257142
0.71020365;0.7836729;0.8816321;1.0122442;1.1755093;1.4122438
0.7755097;0.8571423;0.9714279;1.10204;1.2897949;1.542856
0.83265257;0.9224484;1.036734;1.1918359;1.3877541;1.6653049
0.8816321;0.9795912;1.10204;1.257142;1.4693866;1.763264
0.94693816;1.0530605;1.1836727;1.355101;1.5836722;1.8938761
1.0204074;1.1265298;1.2734685;1.4530602;1.6897947;2.0326514
1.0938767;1.2163256;1.3632643;1.5591824;1.8204068;2.17959
1.1510196;1.2816317;1.4367336;1.6408151;1.9183658;2.302039
1.2163256;1.355101;1.5183662;1.7387742;2.0244882;2.432651
1.2734685;1.420407;1.5918355;1.8204068;2.1224473;2.5469368
1.322448;1.4693866;1.6571417;1.8938761;2.2040799;2.6448958
1.355101;1.5020397;1.6897947;1.9346924;2.2530594;2.7020385
1.4040805;1.5591824;1.7551007;2.0081618;2.3428552;2.808161
1.4938763;1.6571417;1.8612231;2.1306105;2.4816306;2.9795892
1.5102029;1.6816314;1.8857129;2.1551003;2.5142837;3.0204055
1.5265294;1.6897947;1.9020394;2.1714268;2.5387735;3.0448954
1.5591824;1.730611;1.9510189;2.2285697;2.5959163;3.1183648
1.6408151;1.8204068;2.048978;2.334692;2.7265284;3.2734668
1.6653049;1.8530598;2.081631;2.3755083;2.775508;3.330611
1.6979579;1.8857129;2.114284;2.4163246;2.8244874;3.3877552
1.7224476;1.9183658;2.1551003;2.4653041;2.873467;3.4448993
1.7877537;1.9918352;2.236733;2.5551;2.9795892;3.5755146
1.8693863;2.0734677;2.334692;2.6693854;3.1102014;3.7306201
1.9510189;2.1714268;2.4408143;2.7918344;3.2571402;3.9020526
1.9918352;2.212243;2.4897938;2.8489773;3.3224475;3.9836872
2.0081618;2.236733;2.5142837;2.873467;3.346938;4.0163407
2.0653045;2.2938757;2.5795896;2.9469364;3.4367359;4.1224656
2.081631;2.3102021;2.6040795;2.971426;3.4693897;4.1551194
2.114284;2.3428552;2.6367326;3.0122423;3.5183704;4.220427
