##;##
@Chart
PowerConsumption;Cooling Power Consumption;Nb of deployed VMs
353.496;110.675;1
825.489;258.45;2
1178.985;369.125;3
1488.0449;465.8877;4
2019.2861;632.2127;5
2550.527;798.53766;6
2963.2712;927.76263;7
3376.0151;1056.9877;8
3450.0762;1080.1747;9
3687.0679;1154.3738;10
4040.564;1265.0488;11
4512.557;1412.8237;12
4984.5503;1560.5988;13
5103.0474;1597.6987;14
5412.1074;1694.4614;15
5589.8525;1750.1107;16
5826.844;1824.3097;17
6135.9043;1921.0724;18
6313.6494;1976.7214;19
6550.6426;2050.9204;20
6624.7026;2074.1077;21
6743.1987;2111.2068;22
7274.44;2277.5317;23
7452.185;2333.1816;24
7570.681;2370.2805;25
7748.4243;2425.9307;26
8279.665;2592.2556;27
8457.409;2647.9055;28
8531.47;2671.0925;29
8605.53;2694.2805;30
8679.59;2717.4675;31
8798.086;2754.5676;32
8975.829;2810.2175;33
9272.069;2902.9666;34
9449.8125;2958.616;35
9627.557;3014.265;36
9701.617;3037.452;37
9997.858;3130.201;38
10234.85;3204.4006;39
10353.346;3241.5007;40
10427.405;3264.6877;41
10501.466;3287.8748;42
10738.458;3362.075;43
10812.519;3385.263;44
10931.015;3422.3625;45
11108.759;3478.0115;46
11404.999;3570.7605;47
11701.239;3663.5095;48
11819.735;3700.6096;49
11938.231;3737.7095;50
