##;##
@Chart
PowerConsumption;Cooling Power Consumption;Nb of deployed VMs
309.06;96.7627;1
781.053;244.53769;2
855.11304;267.72498;3
1386.354;434.05;4
1858.347;581.82495;5
2389.5881;748.14996;6
2698.6482;844.91266;7
3111.392;974.13763;8
3524.1362;1103.3627;9
3877.6323;1214.0376;10
4173.872;1306.7866;11
4645.8647;1454.5616;12
5058.609;1583.7866;13
5177.105;1620.8856;14
5295.601;1657.9846;15
5473.346;1713.6337;16
5710.3384;1787.8326;17
5784.3994;1811.0197;18
5902.8965;1848.1196;19
6139.8887;1922.3196;20
6317.634;1977.9686;21
6495.379;2033.6177;22
6732.371;2107.8179;23
7263.6123;2274.1428;24
7337.6724;2297.3308;25
7411.732;2320.5178;26
7765.228;2431.1926;27
8061.4673;2523.9417;28
8357.707;2616.6907;29
8770.451;2745.9155;30
8844.512;2769.1025;31
8963.008;2806.2017;32
9037.067;2829.3887;33
9111.129;2852.5757;34
9642.369;3018.9006;35
9716.43;3042.0886;36
9953.423;3116.2876;37
10027.482;3139.4756;38
