##;##
@FFD demo file.
PowerConsumption;Nb of deployed VMs
7816.241;1
7890.301;2
7964.361;3
8038.422;4
8112.482;5
8186.542;6
8260.602;7
8334.662;8
8408.723;9
8482.782;10
8556.842;11
8630.903;12
8704.963;13
8779.023;14
8853.084;15
9149.324;16
9223.385;17
9297.445;18
9371.505;19
9667.745;20
9741.807;21
9815.866;22
10112.105;23
10186.166;24
10260.227;25
10334.286;26
10630.527;27
10704.587;28
10778.646;29
11074.889;30
11148.947;31
11223.008;32
11519.249;33
11815.488;34
11889.549;35
11963.609;36
12037.67;37
12111.73;38
12407.97;39
12482.029;40
12778.27;41
12852.33;42
12926.391;43
13000.45;44
13074.51;45
