##;##
@Chart
PowerConsumption;Cooling Power Consumption;Nb of deployed VMs
531.241;166.325;1
1062.482;332.65;2
1475.2261;461.875;3
1784.2861;558.6377;4
2315.527;724.96265;5
2728.2712;854.1876;6
3141.0151;983.4126;7
3318.7603;1039.0616;8
3850.001;1205.3867;9
3924.061;1228.5747;10
4277.557;1339.2498;11
4351.617;1362.437;12
4823.61;1510.2119;13
5177.106;1620.887;14
5251.167;1644.074;15
5488.159;1718.273;16
5960.152;1866.048;17
6372.896;1995.273;18
6491.393;2032.3729;19
6565.4546;2055.56;20
6918.9507;2166.235;21
