##;##
@Chart
PowerConsumption;Cooling Power Consumption;Nb of deployed VMs
531.241;166.325;1
1003.23303;314.09998;2
1312.293;410.86267;3
1621.353;507.62537;4
1930.4131;604.38806;5
2283.9092;715.0631;6
2592.9692;811.8258;7
2902.0293;908.5885;8
2976.0894;931.7758;9
3388.833;1061.0007;10
3801.5771;1190.2257;11
3979.3223;1245.875;12
4332.8184;1356.55;13
4569.811;1430.749;14
4923.307;1541.4241;15
5454.548;1707.7491;16
5763.608;1804.5118;17
5941.353;1860.1609;18
6354.097;1989.3859;19
6428.157;2012.5731;20
6605.9014;2068.2231;21
7077.8936;2215.998;22
7431.3896;2326.673;23
7740.4497;2423.4358;24
8153.194;2552.6606;25
8330.938;2608.31;26
8508.683;2663.959;27
8817.742;2760.7217;28
8995.487;2816.371;29
9069.548;2839.558;30
9188.044;2876.658;31
9365.788;2932.3079;32
9778.532;3061.5332;33
9956.276;3117.1821;34
10134.0205;3172.832;35
10606.013;3320.607;36
10959.509;3431.282;37
11313.005;3541.957;38
11666.501;3652.632;39
11784.997;3689.732;40
12138.493;3800.407;41
12491.989;3911.082;42
12610.485;3948.182;43
12906.726;4040.931;44
13319.47;4170.156;45
13393.531;4193.343;46
13512.027;4230.4424;47
13984.02;4378.218;48
14161.764;4433.8677;49
14235.823;4457.0547;50
14413.568;4512.7046;51
14591.3125;4568.3535;52
14665.372;4591.5405;53
14843.115;4647.1904;54
14961.611;4684.2905;55
15080.107;4721.3906;56
15198.6045;4758.4893;57
15376.35;4814.138;58
15450.41;4837.3257;59
15568.906;4874.426;60
15687.402;4911.526;61
16218.644;5077.851;62
16292.705;5101.039;63
16411.201;5138.138;64
16648.195;5212.337;65
17179.436;5378.662;66
17297.932;5415.761;67
17651.428;5526.436;68
17725.488;5549.623;69
17843.984;5586.7227;70
17962.48;5623.822;71
