##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08979592;0.09795918;0.114285715;0.13061225;0.14693879;0.17959186
0.15510206;0.1714286;0.19591841;0.22040819;0.26122448;0.31020403
0.24489796;0.26938772;0.30204076;0.34285706;0.39999986;0.48163244
0.31020403;0.34285706;0.38367334;0.44081613;0.51428545;0.6204078
0.35918358;0.39999986;0.4489794;0.51428545;0.59591806;0.7183669
0.42448962;0.47346917;0.530612;0.61224455;0.71020365;0.84897906
0.49795893;0.5469385;0.6204078;0.7020404;0.8244893;0.9877544
0.563265;0.6204078;0.7020404;0.7999995;0.9306116;1.1183666
0.57142824;0.6367343;0.7183669;0.81632596;0.95510143;1.1428564
0.6448976;0.71020365;0.7999995;0.9142851;1.069387;1.2816317
0.7183669;0.7999995;0.8979586;1.0204074;1.1918359;1.4285704
0.7836729;0.8734688;0.9795912;1.1183666;1.3061215;1.5673457
0.84897906;0.94693816;1.0612237;1.2163256;1.420407;1.6979579
0.9224484;1.0204074;1.1510196;1.3142847;1.5265294;1.8367333
0.9877544;1.0938767;1.2326522;1.4040805;1.6408151;1.9673454
1.0040809;1.1183666;1.257142;1.4367336;1.6734681;2.0081618
1.0857135;1.1999991;1.355101;1.542856;1.8040802;2.1632636
1.1102033;1.2326522;1.3877541;1.5836722;1.8448966;2.2204063
1.1428564;1.2653052;1.420407;1.6244885;1.8938761;2.2775493
1.2244889;1.3632643;1.5346926;1.7469375;2.0408146;2.4489777
1.257142;1.3959173;1.5673457;1.7877537;2.0897942;2.5061204
1.322448;1.4693866;1.6489784;1.8857129;2.2040799;2.6367326
1.3959173;1.5510192;1.7469375;1.9999985;2.3265288;2.7918344
1.4530602;1.6163253;1.8204068;2.081631;2.4244878;2.90612
1.5346926;1.7061212;1.9183658;2.1877534;2.5551;3.0612218
1.5591824;1.7387742;1.9510189;2.2285697;2.6040795;3.1183648
1.5999987;1.7795905;1.9999985;2.2857125;2.6612222;3.1999972
1.6571417;1.8448966;2.0734677;2.367345;2.7591813;3.314284
1.6897947;1.8693863;2.1061208;2.4081614;2.808161;3.3714283
1.730611;1.9265292;2.1632636;2.4734674;2.8897934;3.4612262
1.7877537;1.9836719;2.2285697;2.5469368;2.971426;3.567351
1.8530598;2.0571413;2.3102021;2.6448958;3.0857117;3.6979663
1.9346924;2.1551003;2.4244878;2.7673447;3.224487;3.8693988
1.9673454;2.1877534;2.457141;2.808161;3.2734668;3.926543
2.0081618;2.2285697;2.5061204;2.8653038;3.3387744;4.0081773
2.0326514;2.2612226;2.5387735;2.90612;3.3877552;4.0653214
2.0653045;2.2938757;2.5795896;2.9469364;3.4367359;4.1224656
2.0979576;2.334692;2.6285694;3.004079;3.5020435;4.1959367
2.1469371;2.3918347;2.685712;3.069385;3.583678;4.293898
2.1632636;2.399998;2.7020385;3.0857117;3.600005;4.3183885
2.2204063;2.4653041;2.775508;3.1673443;3.6979663;4.432677
2.269386;2.5224469;2.8326507;3.2408135;3.7796009;4.5388017
2.302039;2.5551;2.873467;3.2816303;3.8285816;4.595946
2.3265288;2.587753;2.90612;3.3224475;3.8775623;4.65309
2.359182;2.620406;2.9469364;3.3632648;3.926543;4.710234
2.3918347;2.6612222;2.995916;3.420409;3.9918506;4.783705
2.4244878;2.6938753;3.028569;3.4612262;4.0326676;4.8408494
2.4979572;2.775508;3.126528;3.567351;4.163283;4.995955
2.5224469;2.7999976;3.1510177;3.600005;4.1959367;5.0367723
2.5469368;2.8326507;3.1836708;3.6408222;4.2449174;5.0939164
2.5795896;2.8653038;3.224487;3.6816394;4.293898;5.1510606
2.6367326;2.9306097;3.2897937;3.763274;4.3918595;5.265349
2.653059;2.9469364;3.314284;3.7877643;4.4245133;5.306166
2.685712;2.9795892;3.3551013;3.8285816;4.4653306;5.3633103
2.7020385;3.004079;3.3795917;3.8612354;4.4979844;5.395964
2.7183652;3.0204055;3.404082;3.8857257;4.530638;5.4367814
2.775508;3.0857117;3.4693897;3.9673603;4.6285996;5.5510697
2.808161;3.1183648;3.510207;4.0081773;4.6775804;5.608214
2.8163242;3.1346912;3.5265338;4.024504;4.6939073;5.6327043
2.8571405;3.1755075;3.5755146;4.0816483;4.759215;5.714339
2.873467;3.1999972;3.5918415;4.1061387;4.7918687;5.7469926
2.8897934;3.2081606;3.6081684;4.1224656;4.816359;5.771483
2.9142833;3.2408135;3.6489856;4.163283;4.8571763;5.828627
2.9632628;3.2979572;3.7061298;4.236754;4.938811;5.9265885
2.9795892;3.3061206;3.7224567;4.253081;4.963301;5.951079
2.9877527;3.3224475;3.7387836;4.2694077;4.979628;5.9755692
3.004079;3.3387744;3.7551105;4.2857347;5.0041184;6.0000596
3.028569;3.3714283;3.7877643;4.326552;5.053099;6.057204
3.0530586;3.3877552;3.8122547;4.3592057;5.085753;6.098021
3.069385;3.4122455;3.836745;4.383696;5.1102433;6.1388383
