##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.08163265;0.08979592;0.09795918;0.114285715;0.13877553
0.14693879;0.16326533;0.18775514;0.21224493;0.24489796;0.2938775
0.17959186;0.19591841;0.22040819;0.25306123;0.2938775;0.3510203
0.26122448;0.2938775;0.32653055;0.3755101;0.4326529;0.5224487
0.3510203;0.38367334;0.4326529;0.49795893;0.5795915;0.6938771
0.41632637;0.46530592;0.5224487;0.59591806;0.6938771;0.83265257
0.48979568;0.5469385;0.61224455;0.7020404;0.81632596;0.9795912
0.57142824;0.62857103;0.71020365;0.80816275;0.94693816;1.134693
0.6448976;0.7183669;0.80816275;0.9224484;1.0775503;1.2897949
0.66938734;0.7428567;0.83265257;0.94693816;1.1102033;1.3306112
0.7346934;0.81632596;0.9142851;1.0448972;1.2163256;1.4612234
0.80816275;0.8979586;1.0122442;1.1510196;1.3469378;1.6163253
0.8734688;0.9714279;1.0938767;1.2489786;1.4612234;1.7469375
0.96326464;1.069387;1.1999991;1.3714275;1.5999987;1.9183658
0.9877544;1.10204;1.2408154;1.4122438;1.6489784;1.9755087
1.0285708;1.1428564;1.2897949;1.4693866;1.7142844;2.0571413
1.0857135;1.2081624;1.355101;1.5510192;1.8122436;2.1714268
