##;##
@FFD demo file.
PowerConsumption;Nb of deployed VMs
412.744;1
590.489;2
943.985;3
1253.0449;4
1784.2861;5
2197.03;6
2506.09;7
2815.1501;8
2889.21;9
3126.2031;10
3200.2632;11
3553.7593;12
3627.8198;13
4159.061;14
4571.805;15
4645.866;16
4999.3623;17
5073.4233;18
5545.4165;19
5663.9136;20
5782.409;21
6019.4014;22
6372.8975;23
6904.1387;24
6978.1987;25
7215.191;26
7687.184;27
7805.681;28
7924.178;29
7998.238;30
8175.983;31
8294.478;32
8368.538;33
8546.282;34
8664.778;35
8973.839;36
9210.831;37
9623.575;38
9742.07;39
10038.312;40
10216.055;41
10393.8;42
10512.296;43
10690.04;44
10808.536;45
10927.032;46
11458.273;47
11532.333;48
11769.325;49
11843.386;50
12021.131;51
12198.876;52
12495.115;53
13026.356;54
13100.417;55
13218.913;56
13631.657;57
13809.401;58
13987.1455;59
14283.385;60
14357.444;61
14431.505;62
14550.001;63
14727.745;64
14846.241;65
15142.481;66
15260.978;67
15379.474;68
15497.97;69
15675.715;70
15749.775;71
16281.016;72
16458.76;73
16532.82;74
16606.879;75
16784.623;76
16858.684;77
16932.744;78
17228.984;79
17406.729;80
