##;##
@Airflow2
HACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.08163265;0.08979592;0.09795918;0.114285715;0.13877553
0.13877553;0.15510206;0.1714286;0.19591841;0.22857144;0.26938772
0.19591841;0.22040819;0.24489796;0.277551;0.32653055;0.38367334
0.25306123;0.277551;0.31836727;0.35918358;0.41632637;0.49795893
0.30204076;0.3346938;0.3755101;0.4326529;0.5061222;0.6040813
0.36734682;0.4081631;0.46530592;0.530612;0.61224455;0.7346934
0.42448962;0.46530592;0.5224487;0.59591806;0.7020404;0.8408158
0.47346917;0.5224487;0.5877548;0.66938734;0.7836729;0.9387749
0.49795893;0.55510175;0.6204078;0.71020365;0.83265257;0.9959177
0.5795915;0.6367343;0.7183669;0.8244893;0.95510143;1.1510196
0.6367343;0.7020404;0.7918362;0.90612185;1.0530605;1.2653052
0.7020404;0.7755097;0.8734688;0.9959177;1.1673461;1.3959173
0.76734644;0.84897906;0.95510143;1.0938767;1.2734685;1.5346926
0.8408158;0.9387749;1.0530605;1.2081624;1.4040805;1.6816314
0.9224484;1.0204074;1.1510196;1.3142847;1.5346926;1.8367333
0.96326464;1.069387;1.1999991;1.3714275;1.5999987;1.9183658
0.9795912;1.0857135;1.2244889;1.3959173;1.6326518;1.9510189
1.0448972;1.1591828;1.3061215;1.4938763;1.7387742;2.0897942
1.0775503;1.1918359;1.3387744;1.5346926;1.7877537;2.1469371
1.10204;1.2244889;1.3795907;1.575509;1.8367333;2.2040799
1.1265298;1.2489786;1.4040805;1.5999987;1.8693863;2.2448962
1.1755093;1.3061215;1.4693866;1.6734681;1.9510189;2.3428552
1.1918359;1.322448;1.4857131;1.6979579;1.9836719;2.3836715
1.2816317;1.420407;1.5999987;1.82857;2.1306105;2.5551
1.2897949;1.4367336;1.6163253;1.8448966;2.1469371;2.5795896
1.355101;1.5102029;1.6979579;1.9346924;2.2612226;2.7102017
1.3877541;1.542856;1.730611;1.9755087;2.3102021;2.7673447
1.4530602;1.6163253;1.8122436;2.0734677;2.4163246;2.90612
1.5265294;1.6979579;1.9102026;2.1877534;2.5469368;3.0530586
1.5673457;1.7387742;1.9591821;2.236733;2.6122427;3.1346912
1.6244885;1.8040802;2.0326514;2.3183656;2.7102017;3.2489767
1.6816314;1.8693863;2.1061208;2.399998;2.7999976;3.3632648
1.7142844;1.9020394;2.138774;2.4408143;2.8489773;3.420409
1.730611;1.9265292;2.1632636;2.4734674;2.8816302;3.4612262
1.8204068;2.016325;2.269386;2.5959163;3.028569;3.6326587
1.8693863;2.0734677;2.334692;2.6693854;3.1102014;3.7306201
1.8775495;2.0897942;2.3510184;2.685712;3.1346912;3.7551105
1.9102026;2.1224473;2.3836715;2.7265284;3.1755075;3.8122547
1.9755087;2.1959167;2.4734674;2.8244874;3.2897937;3.9510334
2.0081618;2.2285697;2.5061204;2.8653038;3.3387744;4.0081773
2.0326514;2.2612226;2.5387735;2.90612;3.3877552;4.0653214
2.1224473;2.359182;2.653059;3.028569;3.5346973;4.236754
2.138774;2.3755083;2.677549;3.0530586;3.567351;4.277571
2.1959167;2.4408143;2.7428548;3.1346912;3.657149;4.3918595
2.212243;2.457141;2.7591813;3.1510177;3.6816394;4.41635
2.2612226;2.5061204;2.8244874;3.224487;3.763274;4.5143113
2.2857125;2.5387735;2.8571405;3.2653034;3.8040912;4.5714555
2.3183656;2.5714264;2.8897934;3.3061206;3.853072;4.6285996
2.3428552;2.6040795;2.9306097;3.346938;3.9020526;4.685744
2.3755083;2.6367326;2.9632628;3.3877552;3.9510334;4.742888
2.3836715;2.653059;2.9795892;3.404082;3.9755237;4.7673783
2.4244878;2.6938753;3.028569;3.4612262;4.0326676;4.8408494
2.4653041;2.7346916;3.0775485;3.5183704;4.0979753;4.922484
2.4897938;2.7673447;3.1102014;3.5591877;4.146956;4.979628
2.5061204;2.7836711;3.126528;3.5755146;4.1714463;5.0041184
2.5632632;2.8408139;3.1999972;3.657149;4.2612443;5.118407
2.5714264;2.8571405;3.2163239;3.673476;4.2857347;5.142897
2.620406;2.9142833;3.2734668;3.7387836;4.367369;5.232695
2.6612222;2.9550996;3.3224475;3.7959278;4.4245133;5.3143296
2.685712;2.9877527;3.3551013;3.836745;4.473494;5.371474
2.751018;3.0612218;3.4448993;3.9347064;4.5877824;5.502089
2.7836711;3.093875;3.4775531;3.9755237;4.636763;5.559233
2.8571405;3.1755075;3.5755146;4.0816483;4.7673783;5.714339
2.8979568;3.2163239;3.6244953;4.1387925;4.8245225;5.7959733
2.9306097;3.2489767;3.657149;4.17961;4.873503;5.8531175
2.9469364;3.2734668;3.6816394;4.2041;4.906157;5.8857713
2.9795892;3.3061206;3.7224567;4.253081;4.9551377;5.951079
3.004079;3.3387744;3.7551105;4.293898;5.0041184;6.008223
3.0367322;3.3714283;3.7877643;4.3347154;5.053099;6.065367
3.1102014;3.4530628;3.8857257;4.4408402;5.1837144;6.2123094
3.126528;3.4775531;3.910216;4.4653306;5.216368;6.2531266
3.1673443;3.5183704;3.9591968;4.522475;5.2735124;6.334761
3.2081606;3.5591877;4.0081773;4.579619;5.33882;6.408232
3.2489767;3.6081684;4.057158;4.636763;5.4041276;6.4817033
3.2734668;3.6408222;4.089812;4.6775804;5.4531083;6.5470104
3.3061206;3.6653125;4.130629;4.7183976;5.502089;6.6041546
3.330611;3.6979663;4.163283;4.759215;5.5510697;6.6612988
3.3632648;3.7306201;4.1959367;4.800032;5.6000504;6.718443
3.3959186;3.7796009;4.2449174;4.8571763;5.665358;6.791914
3.4285724;3.8122547;4.2857347;4.8979936;5.7061753;6.849058
3.4693897;3.853072;4.3347154;4.9469743;5.771483;6.9306927
3.4857166;3.8693988;4.3592057;4.979628;5.8041368;6.9633465
3.5265338;3.9183795;4.400023;5.028609;5.8694444;7.044981
3.5591877;3.9591968;4.4490037;5.085753;5.934752;7.118452
3.583678;3.9755237;4.473494;5.118407;5.967406;7.1592693
3.6081684;4.0081773;4.5143113;5.159224;6.0163865;7.2164135
3.6979663;4.1061387;4.620436;5.281676;6.155165;7.387846
3.7061298;4.1224656;4.636763;5.2980027;6.1796556;7.4123363
3.7387836;4.1551194;4.669417;5.33882;6.2286363;7.4694805
3.763274;4.187773;4.710234;5.3796372;6.277617;7.5266247
3.7796009;4.1959367;4.7183976;5.395964;6.293944;7.551115
3.7877643;4.2122636;4.7347245;5.412291;6.3184342;7.5756054
3.8204181;4.2449174;4.775542;5.4531083;6.367415;7.6327496
3.836745;4.2612443;4.800032;5.485762;6.3919053;7.673567
3.8857257;4.3183885;4.8571763;5.5510697;6.47354;7.7715282
3.9183795;4.3510423;4.88983;5.591887;6.5225205;7.8286724
3.94287;4.383696;4.9306474;5.6327043;6.571501;7.8858166
3.9755237;4.41635;4.963301;5.6735215;6.6204815;7.9429607
3.9918506;4.432677;4.9877915;5.7061753;6.6531353;7.983778
4.024504;4.4653306;5.028609;5.7469926;6.702116;8.040922
4.040831;4.489821;5.053099;5.771483;6.73477;8.081739
4.073485;4.522475;5.085753;5.8123;6.7837505;8.138884
4.0816483;4.5388017;5.10208;5.828627;6.8000774;8.163374
4.1224656;4.579619;5.1510606;5.8857713;6.865385;8.236845
4.1714463;4.6285996;5.2082047;5.951079;6.9470196;8.334806
4.2041;4.6775804;5.2571855;6.008223;7.012327;8.4082775
4.236754;4.710234;5.2980027;6.0490403;7.0531445;8.465422
