##;##
@Airflow %
HACS volumetric airflow;CACS volumetric airflow;Parallel volumetric airflow 0.1 loss;Parallel volumetric airflow 0.2 loss;Parallel volumetric airflow 0.3 loss;Parallel volumetric airflow 0.4 loss;Parallel volumetric airflow 0.5 loss
0.08163265;0.0;0.08163265;0.08163265;0.08163265;0.08979592;0.10612244
0.10612244;0.0;0.114285715;0.13061225;0.14693879;0.1714286;0.20408168
0.15510206;0.0;0.1714286;0.19591841;0.22040819;0.25306123;0.30204076
0.22857144;0.0;0.25306123;0.28571424;0.32653055;0.38367334;0.45714265
0.24489796;0.0;0.26938772;0.30204076;0.34285706;0.39999986;0.48163244
0.30204076;0.0;0.3346938;0.3755101;0.42448962;0.49795893;0.59591806
0.38367334;0.0;0.4326529;0.48163244;0.55510175;0.6448976;0.76734644
0.39999986;0.0;0.44081613;0.49795893;0.57142824;0.66122407;0.7918362
0.4489794;0.0;0.49795893;0.563265;0.6367343;0.7428567;0.8979586
0.5387752;0.0;0.59591806;0.66938734;0.76734644;0.88979536;1.069387
0.6040813;0.0;0.66938734;0.7510199;0.8571423;1.0040809;1.1999991
0.66122407;0.0;0.7346934;0.8244893;0.9387749;1.0938767;1.3142847
0.7183669;0.0;0.7999995;0.8979586;1.0204074;1.1918359;1.4285704
0.75918317;0.0;0.8408158;0.94693816;1.0775503;1.257142;1.5102029
0.7836729;0.0;0.8734688;0.9795912;1.1183666;1.3061215;1.5673457
0.80816275;0.0;0.88979536;1.0040809;1.1510196;1.3387744;1.608162
0.83265257;0.0;0.9224484;1.036734;1.1918359;1.3877541;1.6653049
0.88979536;0.0;0.9877544;1.1102033;1.2734685;1.4775499;1.7795905
0.9387749;0.0;1.0448972;1.1755093;1.3387744;1.5591824;1.8693863
0.9795912;0.0;1.0857135;1.2163256;1.3959173;1.6244885;1.9510189
0.9959177;0.0;1.1102033;1.2408154;1.420407;1.6571417;1.9918352
1.0122442;0.0;1.1265298;1.2653052;1.4530602;1.6897947;2.0244882
1.036734;0.0;1.1510196;1.2897949;1.4775499;1.7224476;2.0653045
1.0612237;0.0;1.1836727;1.3306112;1.5183662;1.7714273;2.1224473
1.0857135;0.0;1.1999991;1.355101;1.542856;1.8040802;2.1632636
1.1102033;0.0;1.2326522;1.3877541;1.5836722;1.8530598;2.2204063
1.1999991;0.0;1.3306112;1.4938763;1.7061212;1.9918352;2.3918347
1.257142;0.0;1.3959173;1.5673457;1.795917;2.0897942;2.5061204
1.3061215;0.0;1.4448968;1.6326518;1.8612231;2.1714268;2.6040795
1.3142847;0.0;1.4612234;1.6408151;1.8775495;2.1877534;2.6285694
1.3469378;0.0;1.4938763;1.6816314;1.9183658;2.236733;2.685712
1.4285704;0.0;1.5918355;1.7877537;2.0408146;2.3836715;2.8571405
1.4612234;0.0;1.6244885;1.8204068;2.081631;2.432651;2.9142833
1.4693866;0.0;1.6326518;1.8367333;2.0979576;2.4489777;2.9387732
1.5020397;0.0;1.6653049;1.8775495;2.138774;2.4979572;2.995916
1.5265294;0.0;1.6979579;1.9102026;2.17959;2.5469368;3.0530586
1.542856;0.0;1.7142844;1.9265292;2.2040799;2.5632632;3.0775485
1.5510192;0.0;1.7224476;1.9428556;2.2204063;2.587753;3.1020381
1.5918355;0.0;1.7714273;1.9918352;2.269386;2.653059;3.1836708
1.608162;0.0;1.7795905;2.0081618;2.2938757;2.6693854;3.2081606
1.6408151;0.0;1.82857;2.048978;2.3428552;2.7346916;3.2816303
1.6897947;0.0;1.8775495;2.114284;2.4163246;2.8163242;3.3795917
1.730611;0.0;1.9183658;2.1632636;2.4653041;2.8816302;3.4530628
1.7551007;0.0;1.9510189;2.1959167;2.5061204;2.9306097;3.510207
1.7877537;0.0;1.9836719;2.236733;2.5551;2.9795892;3.567351
1.82857;0.0;2.0244882;2.2775493;2.6040795;3.0367322;3.6489856
1.8775495;0.0;2.081631;2.3428552;2.677549;3.1183648;3.746947
1.9102026;0.0;2.1224473;2.3918347;2.7265284;3.1836708;3.8204181
1.9346924;0.0;2.1469371;2.4163246;2.7591813;3.2163239;3.8612354
1.9428556;0.0;2.1551003;2.4244878;2.775508;3.2326503;3.8857257
