##;##
@FFD demo file.
PowerConsumption;Nb of deployed VMs
309.06;1
618.12;2
927.18;3
1458.4211;4
1767.4812;5
2298.7222;6
2607.7822;7
2681.8423;8
2755.903;9
2829.9631;10
2904.0232;11
2978.084;12
3052.1438;13
3348.3838;14
3422.4438;15
3496.504;16
4027.745;17
4101.806;18
4175.866;19
4249.9263;20
4323.9863;21
4398.0464;22
4472.1064;23
5003.347;24
5077.407;25
5373.6475;26
5447.7075;27
5521.7676;28
5595.828;29
5669.8887;30
5743.948;31
6275.1895;32
6349.249;33
6423.3105;34
6497.37;35
6793.6104;36
6867.671;37
6941.7305;38
7015.79;39
7089.8496;40
7386.09;41
7460.1494;42
7534.2095;43
7608.2695;44
7682.3296;45
7756.3896;46
7830.4497;47
8126.69;48
8200.75;49
8274.811;50
