##;##
@FFD demo file.
PowerConsumption;Nb of deployed VMs
309.06;1
618.12;2
692.18;3
766.24;4
1297.481;5
1606.541;6
1915.6011;7
2446.8423;8
2978.0835;9
3287.1436;10
3361.204;11
3435.2642;12
3509.3242;13
3583.385;14
3657.445;15
3731.5059;16
3805.567;17
3879.627;18
3953.687;19
4027.747;20
4101.807;21
4175.867;22
4707.1084;23
4781.1685;24
4855.228;25
4929.288;26
5003.349;27
5077.409;28
5151.4688;29
5225.5293;30
5299.589;31
5373.6494;32
5447.709;33
5978.95;34
6053.01;35
6349.25;36
6423.3096;37
6497.37;38
6793.6094;39
6867.67;40
7163.91;41
7237.9697;42
7312.03;43
7608.2695;44
7682.3296;45
7756.3896;46
7830.4497;47
8126.69;48
8200.75;49
8274.811;50
